temperature,total_precipitation,wind_speed,cloud_cover,time,Usable Year,month,day,hour
21.2,0.0,2.68,0.0,2019-01-01 00:00:00,2019,1,1,0
22.0,0.0,2.71,0.0,2019-01-01 01:00:00,2019,1,1,1
23.0,0.0,2.84,0.0,2019-01-01 02:00:00,2019,1,1,2
24.3,0.0,3.27,0.0,2019-01-01 03:00:00,2019,1,1,3
24.6,0.0,4.18,0.0,2019-01-01 04:00:00,2019,1,1,4
24.6,0.0,5.03,0.0,2019-01-01 05:00:00,2019,1,1,5
23.5,0.0,5.79,0.0,2019-01-01 06:00:00,2019,1,1,6
23.3,0.0,6.22,0.0,2019-01-01 07:00:00,2019,1,1,7
22.1,0.0,6.12,0.0,2019-01-01 08:00:00,2019,1,1,8
22.0,0.0,5.71,0.0,2019-01-01 09:00:00,2019,1,1,9
19.0,0.0,4.54,0.0,2019-01-01 10:00:00,2019,1,1,10
18.4,0.0,4.34,0.0,2019-01-01 11:00:00,2019,1,1,11
17.5,0.0,3.71,0.02,2019-01-01 12:00:00,2019,1,1,12
17.6,0.0,3.41,0.05,2019-01-01 13:00:00,2019,1,1,13
17.4,0.001,3.29,0.22,2019-01-01 14:00:00,2019,1,1,14
17.0,0.001,3.17,0.48,2019-01-01 15:00:00,2019,1,1,15
17.1,0.002,2.95,0.57,2019-01-01 16:00:00,2019,1,1,16
17.3,0.001,2.84,0.82,2019-01-01 17:00:00,2019,1,1,17
17.0,0.0,2.78,0.59,2019-01-01 18:00:00,2019,1,1,18
17.0,0.003,2.96,0.75,2019-01-01 19:00:00,2019,1,1,19
17.1,0.001,3.34,0.73,2019-01-01 20:00:00,2019,1,1,20
16.7,0.002,4.07,0.97,2019-01-01 21:00:00,2019,1,1,21
18.1,0.001,3.67,0.96,2019-01-01 22:00:00,2019,1,1,22
18.4,0.0,4.19,0.93,2019-01-01 23:00:00,2019,1,1,23
19.5,0.0,4.51,0.89,2019-01-02 00:00:00,2019,1,2,0
19.8,0.0,4.73,0.7,2019-01-02 01:00:00,2019,1,2,1
20.6,0.0,4.77,0.47,2019-01-02 02:00:00,2019,1,2,2
21.4,0.0,4.89,0.0,2019-01-02 03:00:00,2019,1,2,3
21.3,0.0,5.38,0.01,2019-01-02 04:00:00,2019,1,2,4
21.3,0.0,6.12,0.0,2019-01-02 05:00:00,2019,1,2,5
20.4,0.0,6.68,0.0,2019-01-02 06:00:00,2019,1,2,6
20.6,0.0,6.73,0.01,2019-01-02 07:00:00,2019,1,2,7
19.9,0.0,6.32,0.55,2019-01-02 08:00:00,2019,1,2,8
20.3,0.0,5.68,0.72,2019-01-02 09:00:00,2019,1,2,9
17.9,0.0,4.47,0.07,2019-01-02 10:00:00,2019,1,2,10
17.3,0.0,4.05,0.16,2019-01-02 11:00:00,2019,1,2,11
16.4,0.0,3.75,0.18,2019-01-02 12:00:00,2019,1,2,12
16.5,0.0,3.76,0.21,2019-01-02 13:00:00,2019,1,2,13
16.3,0.0,3.77,0.19,2019-01-02 14:00:00,2019,1,2,14
15.5,0.0,3.78,0.21,2019-01-02 15:00:00,2019,1,2,15
15.5,0.0,3.92,0.32,2019-01-02 16:00:00,2019,1,2,16
15.3,0.0,3.99,0.49,2019-01-02 17:00:00,2019,1,2,17
15.3,0.0,4.05,0.78,2019-01-02 18:00:00,2019,1,2,18
15.6,0.0,3.49,0.88,2019-01-02 19:00:00,2019,1,2,19
16.1,0.0,3.04,0.9,2019-01-02 20:00:00,2019,1,2,20
15.5,0.0,2.46,0.93,2019-01-02 21:00:00,2019,1,2,21
17.3,0.0,1.54,1.0,2019-01-02 22:00:00,2019,1,2,22
17.7,0.0,0.6,0.94,2019-01-02 23:00:00,2019,1,2,23
20.1,0.001,0.61,0.84,2019-01-03 00:00:00,2019,1,3,0
21.5,0.0,1.05,0.19,2019-01-03 01:00:00,2019,1,3,1
23.0,0.0,1.44,0.01,2019-01-03 02:00:00,2019,1,3,2
25.1,0.0,1.75,0.0,2019-01-03 03:00:00,2019,1,3,3
25.5,0.0,2.34,0.0,2019-01-03 04:00:00,2019,1,3,4
25.9,0.0,3.06,0.0,2019-01-03 05:00:00,2019,1,3,5
25.7,0.0,3.71,0.0,2019-01-03 06:00:00,2019,1,3,6
25.5,0.0,3.87,0.0,2019-01-03 07:00:00,2019,1,3,7
24.8,0.0,3.4,0.0,2019-01-03 08:00:00,2019,1,3,8
25.0,0.0,2.6,0.0,2019-01-03 09:00:00,2019,1,3,9
21.8,0.0,1.96,0.0,2019-01-03 10:00:00,2019,1,3,10
20.3,0.0,1.61,0.0,2019-01-03 11:00:00,2019,1,3,11
19.2,0.0,1.44,0.0,2019-01-03 12:00:00,2019,1,3,12
19.2,0.0,1.26,0.0,2019-01-03 13:00:00,2019,1,3,13
18.6,0.0,1.22,0.0,2019-01-03 14:00:00,2019,1,3,14
