Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,node_id,osmid,x,y,Node Density,Street Length,Degree,Clustering,Clustering (Weighted),Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Katz Centrality,PageRank,Footprint Proportion,Footprint Mean,Footprint Stdev,Perimeter Total,Perimeter Mean,Perimeter Stdev,Complexity Mean,Complexity Stdev,Building Count,PopSum,Men,Women,Elderly,Youth,Children,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Green View Mean,Green View Stdev,Sky View Mean,Sky View Stdev,Building View Mean,Building View Stdev,Road View Mean,Road View Stdev,Visual Complexity Mean,Visual Complexity Stdev,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2",Bourke Street Mall (South),Bou283_T,2009/03/30,,Outdoor,A,East,West,-37.81380668,144.96516718,"-37.81380668, 144.96516718","8902","1327098191",144.9654002,-37.8139393,"3",758.813,"1",0,0,0.014,0.001,false,0.004,false,0.592,823.615,1224.667,4684.542,108.943,79.98,21.267,8.213,"43","132","64","67","6","49","2","0","37","2","13","1","0","1",false,0.17925,0.0899964285005641,0.05225,0.0438169895295029,0.210875,0.0583938291749589,0.23625,0.160054231880501,1.92022480157035,0.165914709903952,true,0.000268116364287499,144.96516718,-37.81380668,144.9654002,-37.8139393
"4",Town Hall (West),Swa123_T,2009/03/23,,Outdoor,A,North,South,-37.81487988,144.9660878,"-37.81487988, 144.9660878","56975","2187874238",144.9662658,-37.8148797,"1",201.053,"3",0,0,0.01,0,false,0.003,false,0.578,824.486,912.453,4748.143,115.808,66.038,22.385,6.616,"41","238","123","114","16","50","1","0","22","3","20","0","0","1",false,0.213625,0.0623284789298944,0.063375,0.0522300884821876,0.200375,0.0338945317966525,0.276625,0.124818654169044,1.91317552244389,0.115402356772013,true,0.000178000091016554,144.9660878,-37.81487988,144.9662658,-37.8148797
"6",Flinders Street Station Underpass,FliS_T,2009/03/25,Upgraded on 8/09/21,Outdoor,A,North,South,-37.81911705,144.96558255,"-37.81911705, 144.96558255","67344","5402983335",144.9651789,-37.8191281,"15",1807.452,"1",0,0,0.008,0,false,0.002,false,0.082,1049.94,1269.965,2495.637,311.955,180.433,55.764,22.007,"8","96","47","49","0","45","3","0","1","0","3","0","0","0",false,0.169333333333333,0.104715089648054,0.164,0.077783352974785,0.0637777777777778,0.0510802745141845,0.0276666666666667,0.083,1.65892523499261,0.159390244897248,true,0.000403801219642627,144.96558255,-37.81911705,144.9651789,-37.8191281
"8",Webb Bridge,WebBN_T,2009/03/24,,Outdoor,A,North,South,-37.82293543,144.9471751,"-37.82293543, 144.9471751","40386","589814363",144.9475061,-37.8224038,"12",1996.103,"3",0,0,0.011,0,false,0.004,false,0.143,4028.362,5760.405,1135.233,227.047,292.781,26.578,25.58,"5","133","71","61","8","26","4","0","0","2","1","0","0","5",false,0.127583333333333,0.0378428769167109,0.245,0.165735276323967,0.129166666666667,0.0239348864187568,0.15225,0.108668072588042,1.78946369762686,0.135107895247114,true,0.000626251911691592,144.9471751,-37.82293543,144.9475061,-37.8224038
"10",Victoria Point,BouHbr_T,2009/04/23,,Outdoor,A,East,West,-37.81876474,144.94710545,"-37.81876474, 144.94710545","6392","92141618",144.9471781,-37.8189026,"7",1307.591,"3",0,0,0.014,0.002,false,0.005,false,0.363,5585.093,8989.012,3462.531,494.647,738.133,51.588,53.095,"7","88","46","41","4","17","2","0","1","5","6","0","0","1",false,0.1685,0.218278873615077,0.14275,0.099881179408335,0.1385,0.112108578321792,0.095,0.0724890796373265,1.81447166937696,0.166072205780421,true,0.000155831325796862,144.94710545,-37.81876474,144.9471781,-37.8189026
"11",Waterfront City,WatCit_T,2009/01/20,,Outdoor,A,East,West,-37.81564989,144.93970694,"-37.81564989, 144.93970694","67277","8945440902",144.9389381,-37.8155132,"11",1640.451,"1",0,0,0.008,0,false,0.002,false,0.404,2276.478,2020.022,1671.18,208.897,149.427,30.003,14.128,"8","6","3","2","0","1","0","0","0","1","1","0","0","1",false,0.125789420142421,0.122157019792945,0.305325534079349,0.190267209008608,0.150821973550356,0.143093071578534,0.185407934893184,0.0958048626577349,1.72552022923133,0.260566999639051,true,0.000780896345049136,144.93970694,-37.81564989,144.9389381,-37.8155132
"14",Sandridge Bridge,SanBri_T,2009/03/24,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.96291897,"-37.82011242, 144.96291897","67343","5402983339",144.9630178,-37.819553,"14",2012.465,"1",0,0,0.008,0,false,0.002,false,0.044,411.499,261.748,567.38,113.476,67.089,24.84,10.472,"5","118","57","60","0","55","3","0","2","1","0","0","0","2",false,0.275125,0.117480013497737,0.068625,0.0542426756082594,0.229,0.0584734371928216,0.19425,0.194565266317354,1.84866019140506,0.14113651713206,true,0.000568082833131804,144.96291897,-37.82011242,144.9630178,-37.819553
"27",QV Market-Peel St,Vic_T,2013/08/16,,Outdoor,A,East,West,-37.80606888,144.95644692,"-37.80606888, 144.95644692","57582","777700831",144.9560839,-37.8059582,"4",508.992,"4",0,0,0.01,0,false,0.003,false,0.42,275.473,547.697,5319.795,68.203,72.714,16.961,8.739,"78","423","212","210","21","165","8","0","4","0","11","0","0","1",false,0.105518518518519,0.101292913708586,0.267203703703704,0.0920371909302193,0.189148148148148,0.0759193731726035,0.165240740740741,0.0717647980099102,1.94683607795254,0.115376872210229,true,0.000379517565845829,144.95644692,-37.80606888,144.9560839,-37.8059582
"29",St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,sensor upgraded from laser to 3D on 19/12/2019,Outdoor,A,North,South,-37.81965809,144.96863453,"-37.81965809, 144.96863453","78845","10219154153",144.9681685,-37.8197216,"7",907.149,"1",0,0,0.005,0,false,0.001,false,0.101,1428.099,1535.993,374.718,124.906,79.15,21.413,6.426,"3","53","27","26","16","10","0","0","2","2","3","0","0","1",false,0.183981969486824,0.124898316267595,0.153417475728155,0.121625678803497,0.239201109570042,0.144292701411209,0.178064724919094,0.122097140885638,1.78789675148199,0.213449764606488,true,0.000470337624491384,144.96863453,-37.81965809,144.9681685,-37.8197216
"31",Lygon St (West),Lyg161_T,2013/10/10,,Outdoor,A,North,South,-37.80169681,144.96658911,"-37.80169681, 144.96658911","39635","472236190",144.9663514,-37.8015308,"17",2135.505,"3",0,0,0.011,0,false,0.004,false,0.394,226.16,236.472,4233.998,65.138,29.073,17.256,4.163,"65","218","109","108","6","78","9","0","8","0","18","0","0","2",false,0.2074,0.0931922743579102,0.1602,0.10579792058448,0.0784,0.0144499134945508,0.3984,0.0237023205614978,1.67558706071673,0.0689247910026045,true,0.000289940276948752,144.96658911,-37.80169681,144.9663514,-37.8015308
