Dataset,Model,15 Dwelling count,Predicted Value
All,CatBoost,757.0,560.5417782417239
All,CatBoost,1052.2525252525252,560.5417782417239
All,CatBoost,1347.5050505050503,560.3291359227209
All,CatBoost,1642.7575757575758,560.3291359227209
All,CatBoost,1938.010101010101,560.3291359227209
All,CatBoost,2233.2626262626263,559.5965783806979
All,CatBoost,2528.5151515151515,559.5965783806979
All,CatBoost,2823.7676767676767,559.5965783806979
All,CatBoost,3119.020202020202,559.5965783806979
All,CatBoost,3414.272727272727,559.5965783806979
All,CatBoost,3709.525252525252,559.5965783806979
All,CatBoost,4004.7777777777774,559.5965783806979
All,CatBoost,4300.030303030303,559.5965783806979
All,CatBoost,4595.282828282829,559.5965783806979
All,CatBoost,4890.535353535353,559.5965783806979
All,CatBoost,5185.787878787878,559.5965783806979
All,CatBoost,5481.040404040404,559.5965783806979
All,CatBoost,5776.292929292929,559.5965783806979
All,CatBoost,6071.545454545454,583.0881255590359
All,CatBoost,6366.79797979798,576.7532862542345
All,CatBoost,6662.050505050504,565.4598955811476
All,CatBoost,6957.30303030303,568.1818176626293
All,CatBoost,7252.555555555555,568.1818176626293
All,CatBoost,7547.80808080808,567.2106553723129
All,CatBoost,7843.060606060606,567.2106553723129
All,CatBoost,8138.313131313131,567.2106553723129
All,CatBoost,8433.565656565657,570.1955572288986
All,CatBoost,8728.81818181818,585.6780908285907
All,CatBoost,9024.070707070707,564.5948525015511
All,CatBoost,9319.323232323231,562.3066946929803
All,CatBoost,9614.575757575756,563.1193016189897
All,CatBoost,9909.828282828283,570.5994261496734
All,CatBoost,10205.080808080807,595.9780044789444
All,CatBoost,10500.333333333332,599.8189300251855
All,CatBoost,10795.585858585859,607.3912408986167
All,CatBoost,11090.838383838383,621.5728095150814
All,CatBoost,11386.090909090908,622.1882848645932
All,CatBoost,11681.343434343433,620.919335121828
All,CatBoost,11976.59595959596,624.5118835853741
All,CatBoost,12271.848484848484,624.9927150086228
All,CatBoost,12567.101010101009,625.5569040343042
All,CatBoost,12862.353535353535,625.5569040343042
All,CatBoost,13157.60606060606,627.6970759991854
All,CatBoost,13452.858585858585,635.1553363450062
All,CatBoost,13748.11111111111,623.4329228648024
All,CatBoost,14043.363636363636,630.2208869892099
All,CatBoost,14338.61616161616,632.0749568424786
All,CatBoost,14633.868686868685,634.4297462993901
All,CatBoost,14929.121212121212,634.4297462993901
All,CatBoost,15224.373737373737,634.4297462993901
All,CatBoost,15519.626262626261,627.5502212683222
All,CatBoost,15814.878787878786,635.4414355246141
All,CatBoost,16110.131313131313,635.4414355246141
All,CatBoost,16405.383838383837,635.4414355246141
All,CatBoost,16700.63636363636,635.4414355246141
All,CatBoost,16995.888888888887,636.4812372732407
All,CatBoost,17291.141414141413,636.1503278562557
All,CatBoost,17586.39393939394,636.1503278562557
All,CatBoost,17881.646464646463,636.1503278562557
All,CatBoost,18176.89898989899,636.1503278562557
All,CatBoost,18472.151515151512,636.1503278562557
All,CatBoost,18767.40404040404,636.1503278562557
All,CatBoost,19062.656565656565,636.1503278562557
All,CatBoost,19357.90909090909,636.1503278562557
All,CatBoost,19653.161616161615,636.1503278562557
All,CatBoost,19948.41414141414,636.1503278562557
All,CatBoost,20243.666666666664,636.1503278562557
All,CatBoost,20538.91919191919,636.1503278562557
All,CatBoost,20834.171717171717,636.1503278562557
All,CatBoost,21129.42424242424,636.1503278562557
All,CatBoost,21424.676767676767,636.1503278562557
All,CatBoost,21719.92929292929,636.6205033963296
All,CatBoost,22015.181818181816,636.6205033963296
All,CatBoost,22310.434343434343,636.6205033963296
All,CatBoost,22605.686868686866,635.0570590250069
All,CatBoost,22900.939393939392,633.9258284401141
All,CatBoost,23196.19191919192,633.9258284401141
All,CatBoost,23491.44444444444,633.9258284401141
All,CatBoost,23786.696969696968,633.9258284401141
All,CatBoost,24081.949494949495,633.9258284401141
All,CatBoost,24377.202020202018,610.0095854833762
All,CatBoost,24672.454545454544,609.9986456939683
All,CatBoost,24967.70707070707,608.8869793144144
All,CatBoost,25262.959595959594,601.517604192036
All,CatBoost,25558.21212121212,601.517604192036
All,CatBoost,25853.464646464643,601.517604192036
All,CatBoost,26148.71717171717,601.517604192036
All,CatBoost,26443.969696969696,601.517604192036
All,CatBoost,26739.22222222222,601.517604192036
All,CatBoost,27034.474747474746,609.5956820092298
All,CatBoost,27329.727272727272,609.5956820092298
All,CatBoost,27624.979797979795,609.5956820092298
All,CatBoost,27920.23232323232,599.0936283442867
All,CatBoost,28215.484848484848,599.0936283442867
All,CatBoost,28510.73737373737,591.6219388147966
All,CatBoost,28805.989898989897,591.6219388147966
All,CatBoost,29101.242424242424,591.6219388147966
All,CatBoost,29396.494949494947,596.0218216937378
All,CatBoost,29691.747474747473,596.0218216937378
All,CatBoost,29987.0,596.0218216937378
All,LightGBM,757.0,523.1992046780897
All,LightGBM,1052.2525252525252,548.9819502414613
All,LightGBM,1347.5050505050503,546.8988604628091
All,LightGBM,1642.7575757575758,546.7538948953279
All,LightGBM,1938.010101010101,546.7538948953279
All,LightGBM,2233.2626262626263,546.6502344533932
All,LightGBM,2528.5151515151515,546.6502344533932
All,LightGBM,2823.7676767676767,546.6502344533932
All,LightGBM,3119.020202020202,549.3233501999623
All,LightGBM,3414.272727272727,549.3233501999623
All,LightGBM,3709.525252525252,549.3233501999623
All,LightGBM,4004.7777777777774,549.3233501999623
All,LightGBM,4300.030303030303,551.5436957657237
All,LightGBM,4595.282828282829,551.5436957657237
All,LightGBM,4890.535353535353,551.5436957657237
All,LightGBM,5185.787878787878,551.5436957657237
All,LightGBM,5481.040404040404,551.5436957657237
All,LightGBM,5776.292929292929,551.5436957657237
All,LightGBM,6071.545454545454,572.5628738943333
All,LightGBM,6366.79797979798,562.8812995949928
All,LightGBM,6662.050505050504,558.406709654644
All,LightGBM,6957.30303030303,558.5607346398486
All,LightGBM,7252.555555555555,558.5607346398486
All,LightGBM,7547.80808080808,558.5907638438583
All,LightGBM,7843.060606060606,558.4638774303504
All,LightGBM,8138.313131313131,558.4403443197058
All,LightGBM,8433.565656565657,562.1744863390968
All,LightGBM,8728.81818181818,562.2948122503803
All,LightGBM,9024.070707070707,556.0092000591125
All,LightGBM,9319.323232323231,549.3247981344331
All,LightGBM,9614.575757575756,559.4490030903447
All,LightGBM,9909.828282828283,559.2900996488597
All,LightGBM,10205.080808080807,592.7022964867357
All,LightGBM,10500.333333333332,598.9923474323447
All,LightGBM,10795.585858585859,600.1541506925352
All,LightGBM,11090.838383838383,606.9918148430788
All,LightGBM,11386.090909090908,612.6679199061062
All,LightGBM,11681.343434343433,617.0058121491852
All,LightGBM,11976.59595959596,618.9912604441573
All,LightGBM,12271.848484848484,619.695325250682
All,LightGBM,12567.101010101009,628.4712114737104
All,LightGBM,12862.353535353535,627.2685628458865
All,LightGBM,13157.60606060606,636.0581868335762
All,LightGBM,13452.858585858585,636.856242829454
All,LightGBM,13748.11111111111,638.5845472932227
All,LightGBM,14043.363636363636,635.2016434009249
All,LightGBM,14338.61616161616,635.442609902188
All,LightGBM,14633.868686868685,635.0970223293946
All,LightGBM,14929.121212121212,634.9708016984209
All,LightGBM,15224.373737373737,634.630632097594
All,LightGBM,15519.626262626261,633.3929908481755
All,LightGBM,15814.878787878786,633.6754032427369
All,LightGBM,16110.131313131313,632.659644561387
All,LightGBM,16405.383838383837,632.6508919307171
All,LightGBM,16700.63636363636,633.1185301163722
All,LightGBM,16995.888888888887,636.1832795931484
All,LightGBM,17291.141414141413,643.894302882235
All,LightGBM,17586.39393939394,643.894302882235
All,LightGBM,17881.646464646463,642.0010671250762
All,LightGBM,18176.89898989899,642.8951769318483
All,LightGBM,18472.151515151512,642.8951769318483
All,LightGBM,18767.40404040404,642.8951769318483
All,LightGBM,19062.656565656565,642.8951769318483
All,LightGBM,19357.90909090909,642.8951769318483
All,LightGBM,19653.161616161615,642.8951769318483
All,LightGBM,19948.41414141414,642.891520702483
All,LightGBM,20243.666666666664,632.0530681410648
All,LightGBM,20538.91919191919,631.4278153981475
All,LightGBM,20834.171717171717,631.2689791208024
All,LightGBM,21129.42424242424,631.2689791208024
All,LightGBM,21424.676767676767,631.2635057013748
All,LightGBM,21719.92929292929,631.1152461422054
All,LightGBM,22015.181818181816,631.1152461422054
All,LightGBM,22310.434343434343,631.1152461422054
All,LightGBM,22605.686868686866,631.1152461422054
All,LightGBM,22900.939393939392,629.0901535361164
All,LightGBM,23196.19191919192,629.0901535361164
All,LightGBM,23491.44444444444,629.0901535361164
All,LightGBM,23786.696969696968,629.0901535361164
All,LightGBM,24081.949494949495,629.0901535361164
All,LightGBM,24377.202020202018,608.091292705578
All,LightGBM,24672.454545454544,608.091292705578
All,LightGBM,24967.70707070707,608.091292705578
All,LightGBM,25262.959595959594,609.8126846600139
All,LightGBM,25558.21212121212,609.8126846600139
All,LightGBM,25853.464646464643,609.8126846600139
All,LightGBM,26148.71717171717,607.775554104691
All,LightGBM,26443.969696969696,607.775554104691
All,LightGBM,26739.22222222222,607.775554104691
All,LightGBM,27034.474747474746,608.2501567171413
All,LightGBM,27329.727272727272,606.7396296677431
All,LightGBM,27624.979797979795,606.7396296677431
All,LightGBM,27920.23232323232,606.7358704730153
All,LightGBM,28215.484848484848,606.7358704730153
All,LightGBM,28510.73737373737,605.9275434876838
All,LightGBM,28805.989898989897,605.2860077095382
All,LightGBM,29101.242424242424,605.2860077095382
All,LightGBM,29396.494949494947,605.2860077095382
All,LightGBM,29691.747474747473,720.5200674235313
All,LightGBM,29987.0,720.5200674235313
All,XGBoost,757.0,567.1735229492188
All,XGBoost,1052.2525252525252,567.1735229492188
All,XGBoost,1347.5050505050503,567.1735229492188
All,XGBoost,1642.7575757575758,567.1735229492188
All,XGBoost,1938.010101010101,567.1735229492188
All,XGBoost,2233.2626262626263,567.1735229492188
All,XGBoost,2528.5151515151515,567.1873779296875
All,XGBoost,2823.7676767676767,567.1873779296875
All,XGBoost,3119.020202020202,566.9616088867188
All,XGBoost,3414.272727272727,566.9616088867188
All,XGBoost,3709.525252525252,566.9616088867188
All,XGBoost,4004.7777777777774,566.9616088867188
All,XGBoost,4300.030303030303,566.9616088867188
All,XGBoost,4595.282828282829,566.9616088867188
All,XGBoost,4890.535353535353,566.9616088867188
All,XGBoost,5185.787878787878,566.9616088867188
All,XGBoost,5481.040404040404,567.0545654296875
All,XGBoost,5776.292929292929,567.0545654296875
All,XGBoost,6071.545454545454,567.9734497070312
All,XGBoost,6366.79797979798,568.006103515625
All,XGBoost,6662.050505050504,567.7493286132812
All,XGBoost,6957.30303030303,565.0703735351562
All,XGBoost,7252.555555555555,565.0628662109375
All,XGBoost,7547.80808080808,564.72802734375
All,XGBoost,7843.060606060606,564.8438720703125
All,XGBoost,8138.313131313131,565.3973388671875
All,XGBoost,8433.565656565657,575.3424682617188
All,XGBoost,8728.81818181818,576.96728515625
All,XGBoost,9024.070707070707,561.597412109375
All,XGBoost,9319.323232323231,567.6010131835938
All,XGBoost,9614.575757575756,579.5567016601562
All,XGBoost,9909.828282828283,583.797607421875
All,XGBoost,10205.080808080807,587.21142578125
All,XGBoost,10500.333333333332,591.7620239257812
All,XGBoost,10795.585858585859,599.8704223632812
All,XGBoost,11090.838383838383,600.3002319335938
All,XGBoost,11386.090909090908,606.4400024414062
All,XGBoost,11681.343434343433,603.0282592773438
All,XGBoost,11976.59595959596,602.49658203125
All,XGBoost,12271.848484848484,602.49658203125
All,XGBoost,12567.101010101009,606.6539306640625
All,XGBoost,12862.353535353535,606.4115600585938
All,XGBoost,13157.60606060606,607.7551879882812
All,XGBoost,13452.858585858585,607.815185546875
All,XGBoost,13748.11111111111,612.3684692382812
All,XGBoost,14043.363636363636,612.1431884765625
All,XGBoost,14338.61616161616,612.0864868164062
All,XGBoost,14633.868686868685,612.1661987304688
All,XGBoost,14929.121212121212,612.6273803710938
All,XGBoost,15224.373737373737,612.5465698242188
All,XGBoost,15519.626262626261,612.603271484375
All,XGBoost,15814.878787878786,610.5282592773438
All,XGBoost,16110.131313131313,610.5282592773438
All,XGBoost,16405.383838383837,612.4405517578125
All,XGBoost,16700.63636363636,613.3218994140625
All,XGBoost,16995.888888888887,618.1710205078125
All,XGBoost,17291.141414141413,619.4922485351562
All,XGBoost,17586.39393939394,619.4922485351562
All,XGBoost,17881.646464646463,619.3134765625
All,XGBoost,18176.89898989899,619.3134765625
All,XGBoost,18472.151515151512,619.3134765625
All,XGBoost,18767.40404040404,619.3134765625
All,XGBoost,19062.656565656565,619.3134765625
All,XGBoost,19357.90909090909,619.3421020507812
All,XGBoost,19653.161616161615,619.3421020507812
All,XGBoost,19948.41414141414,619.3421020507812
All,XGBoost,20243.666666666664,619.3421020507812
All,XGBoost,20538.91919191919,619.27294921875
All,XGBoost,20834.171717171717,619.27294921875
All,XGBoost,21129.42424242424,619.27294921875
All,XGBoost,21424.676767676767,619.2968139648438
All,XGBoost,21719.92929292929,619.2968139648438
All,XGBoost,22015.181818181816,619.2968139648438
All,XGBoost,22310.434343434343,619.2968139648438
All,XGBoost,22605.686868686866,619.2646484375
All,XGBoost,22900.939393939392,619.2646484375
All,XGBoost,23196.19191919192,615.243896484375
All,XGBoost,23491.44444444444,615.243896484375
All,XGBoost,23786.696969696968,614.7448120117188
All,XGBoost,24081.949494949495,615.0183715820312
All,XGBoost,24377.202020202018,615.9779052734375
All,XGBoost,24672.454545454544,615.7838745117188
All,XGBoost,24967.70707070707,617.2499389648438
All,XGBoost,25262.959595959594,615.304443359375
All,XGBoost,25558.21212121212,615.3533935546875
All,XGBoost,25853.464646464643,615.3533935546875
All,XGBoost,26148.71717171717,615.3533935546875
All,XGBoost,26443.969696969696,615.3533935546875
All,XGBoost,26739.22222222222,615.3533935546875
All,XGBoost,27034.474747474746,615.3533935546875
All,XGBoost,27329.727272727272,613.8580932617188
All,XGBoost,27624.979797979795,613.8580932617188
All,XGBoost,27920.23232323232,613.8580932617188
All,XGBoost,28215.484848484848,613.8580932617188
All,XGBoost,28510.73737373737,613.694091796875
All,XGBoost,28805.989898989897,613.694091796875
All,XGBoost,29101.242424242424,613.694091796875
All,XGBoost,29396.494949494947,613.694091796875
All,XGBoost,29691.747474747473,613.694091796875
All,XGBoost,29987.0,691.0454711914062
Mornings,CatBoost,757.0,685.5364284129732
Mornings,CatBoost,1052.2525252525252,687.6980574852838
Mornings,CatBoost,1347.5050505050503,687.6980574852838
Mornings,CatBoost,1642.7575757575758,687.6980574852838
Mornings,CatBoost,1938.010101010101,687.6980574852838
Mornings,CatBoost,2233.2626262626263,687.6980574852838
Mornings,CatBoost,2528.5151515151515,687.6980574852838
Mornings,CatBoost,2823.7676767676767,687.6980574852838
Mornings,CatBoost,3119.020202020202,687.6980574852838
Mornings,CatBoost,3414.272727272727,687.6980574852838
Mornings,CatBoost,3709.525252525252,687.6980574852838
Mornings,CatBoost,4004.7777777777774,687.6980574852838
Mornings,CatBoost,4300.030303030303,687.6980574852838
Mornings,CatBoost,4595.282828282829,687.6980574852838
Mornings,CatBoost,4890.535353535353,687.6980574852838
Mornings,CatBoost,5185.787878787878,687.6980574852838
Mornings,CatBoost,5481.040404040404,687.6980574852838
Mornings,CatBoost,5776.292929292929,687.6980574852838
Mornings,CatBoost,6071.545454545454,724.7727051595326
Mornings,CatBoost,6366.79797979798,712.9614960202988
Mornings,CatBoost,6662.050505050504,700.1944841259905
Mornings,CatBoost,6957.30303030303,707.2219276559471
Mornings,CatBoost,7252.555555555555,705.3242305018289
Mornings,CatBoost,7547.80808080808,705.3242305018289
Mornings,CatBoost,7843.060606060606,705.3941881638233
Mornings,CatBoost,8138.313131313131,704.4343130319946
Mornings,CatBoost,8433.565656565657,705.3809805721771
Mornings,CatBoost,8728.81818181818,705.1763475996321
Mornings,CatBoost,9024.070707070707,702.2453733771285
Mornings,CatBoost,9319.323232323231,699.4937593014507
Mornings,CatBoost,9614.575757575756,713.417406817048
Mornings,CatBoost,9909.828282828283,712.2718458508372
Mornings,CatBoost,10205.080808080807,740.160897068459
Mornings,CatBoost,10500.333333333332,757.4469073968287
Mornings,CatBoost,10795.585858585859,756.3586433140416
Mornings,CatBoost,11090.838383838383,758.0737394050389
Mornings,CatBoost,11386.090909090908,759.6616142939561
Mornings,CatBoost,11681.343434343433,756.954678860643
Mornings,CatBoost,11976.59595959596,759.4239792048304
Mornings,CatBoost,12271.848484848484,762.2608436473399
Mornings,CatBoost,12567.101010101009,768.5857919586047
Mornings,CatBoost,12862.353535353535,768.7633521436584
Mornings,CatBoost,13157.60606060606,778.831822224515
Mornings,CatBoost,13452.858585858585,778.9566442942569
Mornings,CatBoost,13748.11111111111,775.6878181188301
Mornings,CatBoost,14043.363636363636,775.3062787216315
Mornings,CatBoost,14338.61616161616,775.3062787216315
Mornings,CatBoost,14633.868686868685,775.3201044324976
Mornings,CatBoost,14929.121212121212,775.3201044324976
Mornings,CatBoost,15224.373737373737,776.8869001122458
Mornings,CatBoost,15519.626262626261,772.7427967841608
Mornings,CatBoost,15814.878787878786,772.7435130603768
Mornings,CatBoost,16110.131313131313,772.7435130603768
Mornings,CatBoost,16405.383838383837,772.8241758067725
Mornings,CatBoost,16700.63636363636,772.8241758067725
Mornings,CatBoost,16995.888888888887,775.3943889366593
Mornings,CatBoost,17291.141414141413,775.3943889366593
Mornings,CatBoost,17586.39393939394,775.3943889366593
Mornings,CatBoost,17881.646464646463,775.5771840693127
Mornings,CatBoost,18176.89898989899,775.5771840693127
Mornings,CatBoost,18472.151515151512,775.5771840693127
Mornings,CatBoost,18767.40404040404,775.622537790442
Mornings,CatBoost,19062.656565656565,775.622537790442
Mornings,CatBoost,19357.90909090909,775.622537790442
Mornings,CatBoost,19653.161616161615,775.622537790442
Mornings,CatBoost,19948.41414141414,775.622537790442
Mornings,CatBoost,20243.666666666664,775.622537790442
Mornings,CatBoost,20538.91919191919,775.622537790442
Mornings,CatBoost,20834.171717171717,775.622537790442
Mornings,CatBoost,21129.42424242424,775.622537790442
Mornings,CatBoost,21424.676767676767,775.622537790442
Mornings,CatBoost,21719.92929292929,775.622537790442
