Dataset,Model,15 Intersection density,Predicted Value
All,XGBoost,0.0005902346073381,621.7767944335938
All,XGBoost,0.0006025860863337657,621.7767944335938
All,XGBoost,0.0006149375653294312,621.7767944335938
All,XGBoost,0.0006272890443250969,621.7767944335938
All,XGBoost,0.0006396405233207626,621.7767944335938
All,XGBoost,0.0006519920023164283,621.7767944335938
All,XGBoost,0.0006643434813120939,621.7767944335938
All,XGBoost,0.0006766949603077596,621.7767944335938
All,XGBoost,0.0006890464393034253,621.7767944335938
All,XGBoost,0.0007013979182990909,619.63037109375
All,XGBoost,0.0007137493972947565,619.63037109375
All,XGBoost,0.0007261008762904222,619.63037109375
All,XGBoost,0.0007384523552860879,619.63037109375
All,XGBoost,0.0007508038342817535,619.63037109375
All,XGBoost,0.0007631553132774192,632.5250854492188
All,XGBoost,0.0007755067922730848,632.5250854492188
All,XGBoost,0.0007878582712687505,632.5250854492188
All,XGBoost,0.0008002097502644162,630.8709716796875
All,XGBoost,0.0008125612292600818,630.8709716796875
All,XGBoost,0.0008249127082557475,630.8709716796875
All,XGBoost,0.000837264187251413,631.2868041992188
All,XGBoost,0.0008496156662470787,631.2868041992188
All,XGBoost,0.0008619671452427444,631.2739868164062
All,XGBoost,0.0008743186242384101,631.2739868164062
All,XGBoost,0.0008866701032340758,631.2739868164062
All,XGBoost,0.0008990215822297415,631.2739868164062
All,XGBoost,0.0009113730612254071,631.2739868164062
All,XGBoost,0.0009237245402210727,634.028564453125
All,XGBoost,0.0009360760192167383,634.028564453125
All,XGBoost,0.000948427498212404,634.0300903320312
All,XGBoost,0.0009607789772080697,634.0300903320312
All,XGBoost,0.0009731304562037354,634.0300903320312
All,XGBoost,0.000985481935199401,616.1096801757812
All,XGBoost,0.0009978334141950668,616.1096801757812
All,XGBoost,0.0010101848931907322,616.1096801757812
All,XGBoost,0.001022536372186398,616.1096801757812
All,XGBoost,0.0010348878511820636,616.1096801757812
All,XGBoost,0.0010472393301777293,618.6926879882812
All,XGBoost,0.001059590809173395,618.6926879882812
All,XGBoost,0.0010719422881690607,618.2735595703125
All,XGBoost,0.0010842937671647263,618.2735595703125
All,XGBoost,0.0010966452461603918,623.1023559570312
All,XGBoost,0.0011089967251560577,584.009765625
All,XGBoost,0.0011213482041517232,584.009765625
All,XGBoost,0.0011336996831473889,584.009765625
All,XGBoost,0.0011460511621430546,584.009765625
All,XGBoost,0.0011584026411387202,583.3084106445312
All,XGBoost,0.001170754120134386,583.3084106445312
All,XGBoost,0.0011831055991300514,585.2430419921875
All,XGBoost,0.0011954570781257173,576.0499877929688
All,XGBoost,0.0012078085571213828,576.0499877929688
All,XGBoost,0.0012201600361170485,574.0953979492188
All,XGBoost,0.0012325115151127141,574.0953979492188
All,XGBoost,0.0012448629941083798,577.4085693359375
All,XGBoost,0.0012572144731040455,577.4085693359375
All,XGBoost,0.001269565952099711,577.4533081054688
All,XGBoost,0.0012819174310953769,578.26806640625
All,XGBoost,0.0012942689100910424,578.39501953125
All,XGBoost,0.0013066203890867083,578.39501953125
All,XGBoost,0.0013189718680823737,577.2842407226562
All,XGBoost,0.0013313233470780394,577.2842407226562
All,XGBoost,0.001343674826073705,592.9354858398438
All,XGBoost,0.0013560263050693708,593.0259399414062
All,XGBoost,0.0013683777840650365,593.0391845703125
All,XGBoost,0.001380729263060702,593.0391845703125
All,XGBoost,0.0013930807420563678,593.0391845703125
All,XGBoost,0.0014054322210520333,593.0391845703125
All,XGBoost,0.001417783700047699,593.0391845703125
All,XGBoost,0.0014301351790433647,593.0391845703125
All,XGBoost,0.0014424866580390304,593.0391845703125
All,XGBoost,0.001454838137034696,593.0391845703125
All,XGBoost,0.0014671896160303615,593.0391845703125
All,XGBoost,0.0014795410950260274,593.0391845703125
All,XGBoost,0.001491892574021693,593.0391845703125
All,XGBoost,0.0015042440530173586,593.0391845703125
All,XGBoost,0.0015165955320130243,593.0391845703125
All,XGBoost,0.00152894701100869,593.0391845703125
All,XGBoost,0.0015412984900043556,593.0391845703125
All,XGBoost,0.0015536499690000211,593.0391845703125
All,XGBoost,0.001566001447995687,593.0391845703125
All,XGBoost,0.0015783529269913525,593.0391845703125
All,XGBoost,0.0015907044059870182,593.0391845703125
All,XGBoost,0.0016030558849826839,593.0391845703125
All,XGBoost,0.0016154073639783495,593.0391845703125
All,XGBoost,0.0016277588429740152,593.0391845703125
All,XGBoost,0.001640110321969681,593.0391845703125
All,XGBoost,0.0016524618009653466,593.0391845703125
All,XGBoost,0.001664813279961012,593.0391845703125
All,XGBoost,0.0016771647589566778,593.0391845703125
All,XGBoost,0.0016895162379523434,593.0391845703125
All,XGBoost,0.0017018677169480091,593.0391845703125
All,XGBoost,0.0017142191959436748,593.0391845703125
All,XGBoost,0.0017265706749393405,593.0042724609375
All,XGBoost,0.0017389221539350062,593.0042724609375
All,XGBoost,0.0017512736329306719,593.0042724609375
All,XGBoost,0.0017636251119263373,593.0042724609375
All,XGBoost,0.001775976590922003,593.0042724609375
All,XGBoost,0.0017883280699176687,593.0042724609375
All,XGBoost,0.0018006795489133344,593.0042724609375
All,XGBoost,0.001813031027909,593.0900268554688
Mornings,LightGBM,0.0005902346073381,739.3361595691944
Mornings,LightGBM,0.0006025860863337657,739.3361595691944
Mornings,LightGBM,0.0006149375653294312,739.3361595691944
Mornings,LightGBM,0.0006272890443250969,739.3361595691944
Mornings,LightGBM,0.0006396405233207626,739.3361595691944
Mornings,LightGBM,0.0006519920023164283,739.3361595691944
Mornings,LightGBM,0.0006643434813120939,739.3361595691944
Mornings,LightGBM,0.0006766949603077596,739.3361595691944
Mornings,LightGBM,0.0006890464393034253,739.3361595691944
Mornings,LightGBM,0.0007013979182990909,739.3361595691944
Mornings,LightGBM,0.0007137493972947565,739.3361595691944
Mornings,LightGBM,0.0007261008762904222,739.3361595691944
Mornings,LightGBM,0.0007384523552860879,762.7624842949251
Mornings,LightGBM,0.0007508038342817535,762.7624842949251
Mornings,LightGBM,0.0007631553132774192,762.7624842949251
Mornings,LightGBM,0.0007755067922730848,762.7624842949251
Mornings,LightGBM,0.0007878582712687505,762.760836096646
Mornings,LightGBM,0.0008002097502644162,762.760836096646
Mornings,LightGBM,0.0008125612292600818,762.67193522846
Mornings,LightGBM,0.0008249127082557475,762.67193522846
Mornings,LightGBM,0.000837264187251413,762.67193522846
Mornings,LightGBM,0.0008496156662470787,762.6560207285943
Mornings,LightGBM,0.0008619671452427444,754.1073203331433
Mornings,LightGBM,0.0008743186242384101,754.1073203331433
Mornings,LightGBM,0.0008866701032340758,754.1073203331433
Mornings,LightGBM,0.0008990215822297415,754.1073203331433
Mornings,LightGBM,0.0009113730612254071,754.1073203331433
Mornings,LightGBM,0.0009237245402210727,754.1296613164918
Mornings,LightGBM,0.0009360760192167383,754.1296613164918
Mornings,LightGBM,0.000948427498212404,754.1296613164918
Mornings,LightGBM,0.0009607789772080697,754.1296613164918
Mornings,LightGBM,0.0009731304562037354,754.1296613164918
Mornings,LightGBM,0.000985481935199401,750.3673534173021
Mornings,LightGBM,0.0009978334141950668,750.3673534173021
Mornings,LightGBM,0.0010101848931907322,750.4952620067891
Mornings,LightGBM,0.001022536372186398,750.4952620067891
Mornings,LightGBM,0.0010348878511820636,750.4952620067891
Mornings,LightGBM,0.0010472393301777293,750.4952620067891
Mornings,LightGBM,0.001059590809173395,750.4952620067891
Mornings,LightGBM,0.0010719422881690607,750.4952620067891
Mornings,LightGBM,0.0010842937671647263,750.4952620067891
Mornings,LightGBM,0.0010966452461603918,712.4679608668339
Mornings,LightGBM,0.0011089967251560577,707.6518266551376
Mornings,LightGBM,0.0011213482041517232,707.6518266551376
Mornings,LightGBM,0.0011336996831473889,707.8161395945958
Mornings,LightGBM,0.0011460511621430546,707.8161395945958
Mornings,LightGBM,0.0011584026411387202,705.894519556029
Mornings,LightGBM,0.001170754120134386,706.4933011220484
Mornings,LightGBM,0.0011831055991300514,706.5127929812613
Mornings,LightGBM,0.0011954570781257173,706.5127929812613
Mornings,LightGBM,0.0012078085571213828,702.2590889442513
Mornings,LightGBM,0.0012201600361170485,702.4795563327586
Mornings,LightGBM,0.0012325115151127141,702.4878460417175
Mornings,LightGBM,0.0012448629941083798,702.4878460417175
Mornings,LightGBM,0.0012572144731040455,702.4878460417175
Mornings,LightGBM,0.001269565952099711,702.4878460417175
Mornings,LightGBM,0.0012819174310953769,703.1492001556976
Mornings,LightGBM,0.0012942689100910424,703.3105580313305
Mornings,LightGBM,0.0013066203890867083,703.3105580313305
Mornings,LightGBM,0.0013189718680823737,703.307274626525
Mornings,LightGBM,0.0013313233470780394,703.4079403297449
Mornings,LightGBM,0.001343674826073705,703.4564092600748
Mornings,LightGBM,0.0013560263050693708,703.4564092600748
Mornings,LightGBM,0.0013683777840650365,703.4564092600748
Mornings,LightGBM,0.001380729263060702,703.4620538920889
Mornings,LightGBM,0.0013930807420563678,703.4620538920889
Mornings,LightGBM,0.0014054322210520333,703.4620538920889
Mornings,LightGBM,0.001417783700047699,703.4620538920889
Mornings,LightGBM,0.0014301351790433647,703.4620538920889
Mornings,LightGBM,0.0014424866580390304,703.4620538920889
Mornings,LightGBM,0.001454838137034696,703.4620538920889
Mornings,LightGBM,0.0014671896160303615,703.4620538920889
Mornings,LightGBM,0.0014795410950260274,703.4620538920889
Mornings,LightGBM,0.001491892574021693,703.4620538920889
Mornings,LightGBM,0.0015042440530173586,703.4620538920889
Mornings,LightGBM,0.0015165955320130243,703.4620538920889
Mornings,LightGBM,0.00152894701100869,703.4620538920889
Mornings,LightGBM,0.0015412984900043556,703.4620538920889
Mornings,LightGBM,0.0015536499690000211,703.4620538920889
Mornings,LightGBM,0.001566001447995687,703.4620538920889
Mornings,LightGBM,0.0015783529269913525,703.4620538920889
Mornings,LightGBM,0.0015907044059870182,703.4620538920889
Mornings,LightGBM,0.0016030558849826839,703.4620538920889
Mornings,LightGBM,0.0016154073639783495,703.4620538920889
Mornings,LightGBM,0.0016277588429740152,703.4620538920889
Mornings,LightGBM,0.001640110321969681,703.4620538920889
Mornings,LightGBM,0.0016524618009653466,703.4620538920889
Mornings,LightGBM,0.001664813279961012,703.4620538920889
Mornings,LightGBM,0.0016771647589566778,703.4620538920889
Mornings,LightGBM,0.0016895162379523434,703.4620538920889
Mornings,LightGBM,0.0017018677169480091,703.4620538920889
Mornings,LightGBM,0.0017142191959436748,703.4620538920889
Mornings,LightGBM,0.0017265706749393405,702.9806988162487
Mornings,LightGBM,0.0017389221539350062,702.9806988162487
Mornings,LightGBM,0.0017512736329306719,702.9806988162487
Mornings,LightGBM,0.0017636251119263373,702.9806988162487
Mornings,LightGBM,0.001775976590922003,702.9806988162487
Mornings,LightGBM,0.0017883280699176687,702.9806988162487
Mornings,LightGBM,0.0018006795489133344,702.9806988162487
Mornings,LightGBM,0.001813031027909,702.9806988162487
Mornings,XGBoost,0.0005902346073381,710.8822021484375
Mornings,XGBoost,0.0006025860863337657,710.8822021484375
Mornings,XGBoost,0.0006149375653294312,710.8822021484375
Mornings,XGBoost,0.0006272890443250969,710.8822021484375
Mornings,XGBoost,0.0006396405233207626,710.8822021484375
Mornings,XGBoost,0.0006519920023164283,710.8822021484375
Mornings,XGBoost,0.0006643434813120939,710.8822021484375
Mornings,XGBoost,0.0006766949603077596,710.8822021484375
Mornings,XGBoost,0.0006890464393034253,710.8822021484375
Mornings,XGBoost,0.0007013979182990909,739.8987426757812
Mornings,XGBoost,0.0007137493972947565,739.8987426757812
Mornings,XGBoost,0.0007261008762904222,739.8987426757812
Mornings,XGBoost,0.0007384523552860879,739.8987426757812
Mornings,XGBoost,0.0007508038342817535,739.8987426757812
Mornings,XGBoost,0.0007631553132774192,739.8875122070312
Mornings,XGBoost,0.0007755067922730848,739.8875122070312
Mornings,XGBoost,0.0007878582712687505,739.8875122070312
Mornings,XGBoost,0.0008002097502644162,740.2594604492188
Mornings,XGBoost,0.0008125612292600818,740.2594604492188
Mornings,XGBoost,0.0008249127082557475,740.2594604492188
Mornings,XGBoost,0.000837264187251413,739.8596801757812
Mornings,XGBoost,0.0008496156662470787,739.8202514648438
Mornings,XGBoost,0.0008619671452427444,733.5031127929688
Mornings,XGBoost,0.0008743186242384101,733.5031127929688
Mornings,XGBoost,0.0008866701032340758,733.5031127929688
Mornings,XGBoost,0.0008990215822297415,733.5031127929688
Mornings,XGBoost,0.0009113730612254071,733.5031127929688
Mornings,XGBoost,0.0009237245402210727,732.1764526367188
Mornings,XGBoost,0.0009360760192167383,732.1764526367188
Mornings,XGBoost,0.000948427498212404,732.1764526367188
Mornings,XGBoost,0.0009607789772080697,732.1764526367188
Mornings,XGBoost,0.0009731304562037354,732.0923461914062
Mornings,XGBoost,0.000985481935199401,731.9344482421875
Mornings,XGBoost,0.0009978334141950668,731.9344482421875
Mornings,XGBoost,0.0010101848931907322,731.9344482421875
Mornings,XGBoost,0.001022536372186398,731.9344482421875
Mornings,XGBoost,0.0010348878511820636,731.9344482421875
Mornings,XGBoost,0.0010472393301777293,733.2268676757812
Mornings,XGBoost,0.001059590809173395,733.2268676757812
Mornings,XGBoost,0.0010719422881690607,733.9238891601562
Mornings,XGBoost,0.0010842937671647263,733.9238891601562
Mornings,XGBoost,0.0010966452461603918,734.4468994140625
Mornings,XGBoost,0.0011089967251560577,734.4008178710938
Mornings,XGBoost,0.0011213482041517232,734.4008178710938
Mornings,XGBoost,0.0011336996831473889,734.4008178710938
Mornings,XGBoost,0.0011460511621430546,734.4008178710938
Mornings,XGBoost,0.0011584026411387202,734.4290161132812
Mornings,XGBoost,0.001170754120134386,734.4290161132812
Mornings,XGBoost,0.0011831055991300514,732.1423950195312
Mornings,XGBoost,0.0011954570781257173,732.0245971679688
Mornings,XGBoost,0.0012078085571213828,732.0245971679688
Mornings,XGBoost,0.0012201600361170485,732.0245971679688
Mornings,XGBoost,0.0012325115151127141,732.0245971679688
Mornings,XGBoost,0.0012448629941083798,732.1021118164062
Mornings,XGBoost,0.0012572144731040455,732.1021118164062
Mornings,XGBoost,0.001269565952099711,732.1021118164062
Mornings,XGBoost,0.0012819174310953769,732.1021118164062
Mornings,XGBoost,0.0012942689100910424,732.1021118164062
Mornings,XGBoost,0.0013066203890867083,732.1021118164062
Mornings,XGBoost,0.0013189718680823737,731.734375
Mornings,XGBoost,0.0013313233470780394,731.7554931640625
Mornings,XGBoost,0.001343674826073705,731.5817260742188
Mornings,XGBoost,0.0013560263050693708,732.1370239257812
Mornings,XGBoost,0.0013683777840650365,732.1370239257812
Mornings,XGBoost,0.001380729263060702,731.2028198242188
Mornings,XGBoost,0.0013930807420563678,731.2028198242188
Mornings,XGBoost,0.0014054322210520333,731.2028198242188
Mornings,XGBoost,0.001417783700047699,731.2028198242188
Mornings,XGBoost,0.0014301351790433647,731.2028198242188
Mornings,XGBoost,0.0014424866580390304,731.2028198242188
Mornings,XGBoost,0.001454838137034696,731.2028198242188
Mornings,XGBoost,0.0014671896160303615,731.2028198242188
Mornings,XGBoost,0.0014795410950260274,731.2028198242188
Mornings,XGBoost,0.001491892574021693,731.2028198242188
Mornings,XGBoost,0.0015042440530173586,731.2028198242188
Mornings,XGBoost,0.0015165955320130243,731.2028198242188
Mornings,XGBoost,0.00152894701100869,731.2028198242188
Mornings,XGBoost,0.0015412984900043556,731.2028198242188
Mornings,XGBoost,0.0015536499690000211,731.2028198242188
Mornings,XGBoost,0.001566001447995687,731.2028198242188
Mornings,XGBoost,0.0015783529269913525,731.2028198242188
Mornings,XGBoost,0.0015907044059870182,731.2028198242188
Mornings,XGBoost,0.0016030558849826839,731.2028198242188
Mornings,XGBoost,0.0016154073639783495,731.2028198242188
Mornings,XGBoost,0.0016277588429740152,731.2028198242188
Mornings,XGBoost,0.001640110321969681,731.2028198242188
Mornings,XGBoost,0.0016524618009653466,731.2028198242188
Mornings,XGBoost,0.001664813279961012,731.2028198242188
Mornings,XGBoost,0.0016771647589566778,731.2028198242188
Mornings,XGBoost,0.0016895162379523434,731.2028198242188
Mornings,XGBoost,0.0017018677169480091,731.2028198242188
Mornings,XGBoost,0.0017142191959436748,731.2028198242188
Mornings,XGBoost,0.0017265706749393405,731.3131103515625
Mornings,XGBoost,0.0017389221539350062,731.3131103515625
Mornings,XGBoost,0.0017512736329306719,731.3131103515625
Mornings,XGBoost,0.0017636251119263373,731.3131103515625
Mornings,XGBoost,0.001775976590922003,731.3131103515625
Mornings,XGBoost,0.0017883280699176687,731.3131103515625
Mornings,XGBoost,0.0018006795489133344,731.3131103515625
Mornings,XGBoost,0.001813031027909,731.3849487304688
Afternoons,LightGBM,0.0005902346073381,1264.7279937647788
Afternoons,LightGBM,0.0006025860863337657,1264.7279937647788
Afternoons,LightGBM,0.0006149375653294312,1264.7279937647788
Afternoons,LightGBM,0.0006272890443250969,1264.7279937647788
Afternoons,LightGBM,0.0006396405233207626,1264.7279937647788
Afternoons,LightGBM,0.0006519920023164283,1264.7279937647788
Afternoons,LightGBM,0.0006643434813120939,1264.7279937647788
Afternoons,LightGBM,0.0006766949603077596,1264.7279937647788
Afternoons,LightGBM,0.0006890464393034253,1264.7279937647788
Afternoons,LightGBM,0.0007013979182990909,1264.7279937647788
Afternoons,LightGBM,0.0007137493972947565,1264.7279937647788
Afternoons,LightGBM,0.0007261008762904222,1264.7279937647788
Afternoons,LightGBM,0.0007384523552860879,1264.7279937647788
Afternoons,LightGBM,0.0007508038342817535,1264.7279937647788
Afternoons,LightGBM,0.0007631553132774192,1264.7279937647788
Afternoons,LightGBM,0.0007755067922730848,1264.7279937647788
Afternoons,LightGBM,0.0007878582712687505,1264.7279937647788
Afternoons,LightGBM,0.0008002097502644162,1264.7279937647788
Afternoons,LightGBM,0.0008125612292600818,1229.9786184102343
Afternoons,LightGBM,0.0008249127082557475,1229.9786184102343
Afternoons,LightGBM,0.000837264187251413,1229.9786184102343
Afternoons,LightGBM,0.0008496156662470787,1229.9786184102343
Afternoons,LightGBM,0.0008619671452427444,1205.0319346051767
Afternoons,LightGBM,0.0008743186242384101,1205.0319346051767
Afternoons,LightGBM,0.0008866701032340758,1205.0319346051767
Afternoons,LightGBM,0.0008990215822297415,1205.0319346051767
Afternoons,LightGBM,0.0009113730612254071,1205.0319346051767
Afternoons,LightGBM,0.0009237245402210727,1207.5337255675292
Afternoons,LightGBM,0.0009360760192167383,1207.5337255675292
Afternoons,LightGBM,0.000948427498212404,1207.5337255675292
Afternoons,LightGBM,0.0009607789772080697,1207.5337255675292
Afternoons,LightGBM,0.0009731304562037354,1207.5015929044598
Afternoons,LightGBM,0.000985481935199401,1208.8932112455861
Afternoons,LightGBM,0.0009978334141950668,1208.8932112455861
Afternoons,LightGBM,0.0010101848931907322,1208.8932112455861
Afternoons,LightGBM,0.001022536372186398,1208.8932112455861
Afternoons,LightGBM,0.0010348878511820636,1208.8932112455861
Afternoons,LightGBM,0.0010472393301777293,1208.8932112455861
Afternoons,LightGBM,0.001059590809173395,1208.9201179470626
Afternoons,LightGBM,0.0010719422881690607,1208.9201179470626
Afternoons,LightGBM,0.0010842937671647263,1208.9201179470626
Afternoons,LightGBM,0.0010966452461603918,1183.4865122778046
Afternoons,LightGBM,0.0011089967251560577,1180.3168058961555
Afternoons,LightGBM,0.0011213482041517232,1180.3168058961555
Afternoons,LightGBM,0.0011336996831473889,1179.6922181768705
