Dataset,Model,15 Job count,Predicted Value
All,CatBoost,23682.0,542.9034599145613
All,CatBoost,26312.050505050505,542.9034599145613
All,CatBoost,28942.10101010101,544.8347117342503
All,CatBoost,31572.151515151512,543.3062597646452
All,CatBoost,34202.20202020202,543.3062597646452
All,CatBoost,36832.25252525252,543.3062597646452
All,CatBoost,39462.303030303025,543.3062597646452
All,CatBoost,42092.35353535353,540.7037964080722
All,CatBoost,44722.40404040404,540.7037964080722
All,CatBoost,47352.454545454544,540.7037964080722
All,CatBoost,49982.505050505046,540.7037964080722
All,CatBoost,52612.555555555555,540.7037964080722
All,CatBoost,55242.60606060606,540.7037964080722
All,CatBoost,57872.656565656565,538.2454623949511
All,CatBoost,60502.70707070707,538.2454623949511
All,CatBoost,63132.757575757576,538.2454623949511
All,CatBoost,65762.80808080808,538.2454623949511
All,CatBoost,68392.85858585857,538.2454623949511
All,CatBoost,71022.90909090909,538.2454623949511
All,CatBoost,73652.95959595959,538.2454623949511
All,CatBoost,76283.01010101009,538.2114308309579
All,CatBoost,78913.06060606061,538.2114308309579
All,CatBoost,81543.11111111111,538.2114308309579
All,CatBoost,84173.16161616161,538.2114308309579
All,CatBoost,86803.21212121211,538.2114308309579
All,CatBoost,89433.26262626261,538.2114308309579
All,CatBoost,92063.31313131313,538.2114308309579
All,CatBoost,94693.36363636363,538.2114308309579
All,CatBoost,97323.41414141413,538.2114308309579
All,CatBoost,99953.46464646464,538.2114308309579
All,CatBoost,102583.51515151515,538.2114308309579
All,CatBoost,105213.56565656565,538.2114308309579
All,CatBoost,107843.61616161616,537.6136352095376
All,CatBoost,110473.66666666666,536.4571373030385
All,CatBoost,113103.71717171716,532.6307400530955
All,CatBoost,115733.76767676767,532.5150216481009
All,CatBoost,118363.81818181818,532.5129180535712
All,CatBoost,120993.86868686868,532.5129180535712
All,CatBoost,123623.91919191918,532.5129180535712
All,CatBoost,126253.9696969697,532.5129180535712
All,CatBoost,128884.0202020202,532.497226385995
All,CatBoost,131514.0707070707,532.497226385995
All,CatBoost,134144.12121212122,532.497226385995
All,CatBoost,136774.1717171717,532.497226385995
All,CatBoost,139404.22222222222,532.7037012906198
All,CatBoost,142034.2727272727,533.0420176289655
All,CatBoost,144664.32323232322,540.4857193008505
All,CatBoost,147294.37373737374,540.4857193008505
All,CatBoost,149924.42424242423,540.4857193008505
All,CatBoost,152554.47474747474,540.4857193008505
All,CatBoost,155184.52525252523,540.4857193008505
All,CatBoost,157814.57575757575,540.8412433882415
All,CatBoost,160444.62626262626,540.8412433882415
All,CatBoost,163074.67676767675,540.5605815361437
All,CatBoost,165704.72727272726,540.5605815361437
All,CatBoost,168334.77777777778,544.1181495852908
All,CatBoost,170964.82828282827,540.8384973287
All,CatBoost,173594.87878787878,540.8384973287
All,CatBoost,176224.92929292927,540.8384973287
All,CatBoost,178854.9797979798,537.7152501963554
All,CatBoost,181485.0303030303,537.4966282550091
All,CatBoost,184115.0808080808,534.513078282159
All,CatBoost,186745.1313131313,534.513078282159
All,CatBoost,189375.1818181818,599.6454462184164
All,CatBoost,192005.2323232323,599.6454462184164
All,CatBoost,194635.28282828283,599.6454462184164
All,CatBoost,197265.3333333333,611.3831476307168
All,CatBoost,199895.38383838383,612.857055224009
All,CatBoost,202525.43434343432,612.8406972260753
All,CatBoost,205155.48484848483,629.5499295715795
All,CatBoost,207785.53535353535,617.881964363782
All,CatBoost,210415.58585858584,617.233196830844
All,CatBoost,213045.63636363635,617.5293519252075
All,CatBoost,215675.68686868684,650.9210172533717
All,CatBoost,218305.73737373736,650.9210172533717
All,CatBoost,220935.78787878787,650.9210172533717
All,CatBoost,223565.83838383836,654.6249865629952
All,CatBoost,226195.88888888888,644.2901283657299
