Dataset,Model,5 Bench density,Predicted Value
All,CatBoost,1.171484200192592e-05,607.349413014742
All,CatBoost,2.27139045877398e-05,606.5447531171554
All,CatBoost,3.371296717355368e-05,606.5447531171554
All,CatBoost,4.471202975936756e-05,606.5447531171554
All,CatBoost,5.571109234518144e-05,606.5447531171554
All,CatBoost,6.671015493099531e-05,606.5447531171554
All,CatBoost,7.77092175168092e-05,606.5447531171554
All,CatBoost,8.870828010262308e-05,601.742024096003
All,CatBoost,9.970734268843695e-05,601.742024096003
All,CatBoost,0.00011070640527425082,601.742024096003
All,CatBoost,0.00012170546786006471,601.742024096003
All,CatBoost,0.00013270453044587858,601.742024096003
All,CatBoost,0.00014370359303169245,597.7863535788745
All,CatBoost,0.00015470265561750633,596.7531532706222
All,CatBoost,0.00016570171820332023,596.7540940213288
All,CatBoost,0.0001767007807891341,596.6004268905633
All,CatBoost,0.00018769984337494797,596.6004268905633
All,CatBoost,0.00019869890596076184,595.9609896768662
All,CatBoost,0.0002096979685465757,596.4911908198898
All,CatBoost,0.0002206970311323896,596.4911908198898
All,CatBoost,0.00023169609371820348,596.4911908198898
All,CatBoost,0.00024269515630401736,596.4616414983518
All,CatBoost,0.0002536942188898313,596.4530231718139
All,CatBoost,0.00026469328147564513,595.9514207702649
All,CatBoost,0.000275692344061459,595.9514207702649
All,CatBoost,0.0002866914066472729,595.9514207702649
All,CatBoost,0.00029769046923308677,595.9514207702649
All,CatBoost,0.00030868953181890067,595.9514207702649
All,CatBoost,0.00031968859440471457,595.9514207702649
All,CatBoost,0.0003306876569905284,594.1671013954267
All,CatBoost,0.0003416867195763423,594.1671013954267
All,CatBoost,0.00035268578216215616,588.7506463949104
All,CatBoost,0.00036368484474797006,588.7506463949104
All,CatBoost,0.00037468390733378396,588.5669797175792
All,CatBoost,0.0003856829699195978,588.5669797175792
All,CatBoost,0.0003966820325054117,588.5669797175792
All,CatBoost,0.00040768109509122555,577.5210052664947
All,CatBoost,0.00041868015767703944,577.5210052664947
All,CatBoost,0.00042967922026285334,577.4422193141019
All,CatBoost,0.0004406782828486672,598.6073845561109
All,CatBoost,0.0004516773454344811,598.6073845561109
All,CatBoost,0.000462676408020295,598.6073845561109
All,CatBoost,0.00047367547060610883,598.6073845561109
All,CatBoost,0.00048467453319192273,598.6073845561109
All,CatBoost,0.0004956735957777366,598.6073845561109
All,CatBoost,0.0005066726583635504,663.591014951575
All,CatBoost,0.0005176717209493643,663.591014951575
All,CatBoost,0.0005286707835351782,663.591014951575
All,CatBoost,0.0005396698461209921,663.591014951575
All,CatBoost,0.0005506689087068059,663.591014951575
All,CatBoost,0.0005616679712926199,663.591014951575
All,CatBoost,0.0005726670338784337,663.591014951575
All,CatBoost,0.0005836660964642476,664.6748996548021
All,CatBoost,0.0005946651590500615,663.3600088406217
All,CatBoost,0.0006056642216358753,662.7659163273255
All,CatBoost,0.0006166632842216892,662.7659163273255
All,CatBoost,0.0006276623468075031,662.7659163273255
All,CatBoost,0.000638661409393317,662.7659163273255
All,CatBoost,0.0006496604719791308,662.7659163273255
All,CatBoost,0.0006606595345649447,662.7659163273255
All,CatBoost,0.0006716585971507586,662.7659163273255
All,CatBoost,0.0006826576597365725,662.7659163273255
All,CatBoost,0.0006936567223223863,662.7659163273255
All,CatBoost,0.0007046557849082003,662.7659163273255
All,CatBoost,0.0007156548474940141,662.7659163273255
All,CatBoost,0.000726653910079828,662.7659163273255
All,CatBoost,0.0007376529726656419,662.7659163273255
All,CatBoost,0.0007486520352514558,662.7659163273255
All,CatBoost,0.0007596510978372696,662.7659163273255
All,CatBoost,0.0007706501604230836,662.7659163273255
All,CatBoost,0.0007816492230088974,662.7659163273255
All,CatBoost,0.0007926482855947113,662.7659163273255
All,CatBoost,0.0008036473481805251,662.7659163273255
All,CatBoost,0.000814646410766339,667.1660046759354
All,CatBoost,0.0008256454733521529,667.1660046759354
All,CatBoost,0.0008366445359379667,667.1660046759354
All,CatBoost,0.0008476435985237807,667.1660046759354
All,CatBoost,0.0008586426611095945,663.9199573792904
All,CatBoost,0.0008696417236954084,663.9199573792904
All,CatBoost,0.0008806407862812223,663.346480184116
All,CatBoost,0.0008916398488670362,663.346480184116
All,CatBoost,0.00090263891145285,663.30894400915
All,CatBoost,0.000913637974038664,663.30894400915
All,CatBoost,0.0009246370366244778,663.30894400915
All,CatBoost,0.0009356360992102917,663.30894400915
All,CatBoost,0.0009466351617961056,663.30894400915
All,CatBoost,0.0009576342243819195,663.30894400915
All,CatBoost,0.0009686332869677333,663.30894400915
All,CatBoost,0.0009796323495535474,663.30894400915
All,CatBoost,0.0009906314121393611,663.30894400915
All,CatBoost,0.001001630474725175,663.30894400915
All,CatBoost,0.001012629537310989,662.8704930551403
All,CatBoost,0.0010236285998968028,662.8704930551403
All,CatBoost,0.0010346276624826167,662.8704930551403
All,CatBoost,0.0010456267250684307,662.8704930551403
All,CatBoost,0.0010566257876542444,662.8704930551403
All,CatBoost,0.0010676248502400584,662.8704930551403
All,CatBoost,0.0010786239128258723,662.8704930551403
All,CatBoost,0.001089622975411686,662.8704930551403
All,CatBoost,0.0011006220379975,662.8704930551403
Mornings,CatBoost,1.171484200192592e-05,745.7386112089657
Mornings,CatBoost,2.27139045877398e-05,745.5115815513022
Mornings,CatBoost,3.371296717355368e-05,745.2055766020761
Mornings,CatBoost,4.471202975936756e-05,745.2055766020761
Mornings,CatBoost,5.571109234518144e-05,745.2055766020761
Mornings,CatBoost,6.671015493099531e-05,745.2055766020761
Mornings,CatBoost,7.77092175168092e-05,745.2055766020761
Mornings,CatBoost,8.870828010262308e-05,742.0704527370644
Mornings,CatBoost,9.970734268843695e-05,742.0704527370644
Mornings,CatBoost,0.00011070640527425082,742.0704527370644
Mornings,CatBoost,0.00012170546786006471,742.0704527370644
Mornings,CatBoost,0.00013270453044587858,742.0704527370644
Mornings,CatBoost,0.00014370359303169245,734.535631857109
Mornings,CatBoost,0.00015470265561750633,728.1367356114531
Mornings,CatBoost,0.00016570171820332023,728.1367356114531
Mornings,CatBoost,0.0001767007807891341,727.8143506886738
Mornings,CatBoost,0.00018769984337494797,727.8143506886738
Mornings,CatBoost,0.00019869890596076184,724.4366263292188
Mornings,CatBoost,0.0002096979685465757,725.379279858412
Mornings,CatBoost,0.0002206970311323896,725.6400869343104
Mornings,CatBoost,0.00023169609371820348,725.6400869343104
Mornings,CatBoost,0.00024269515630401736,725.6400869343104
Mornings,CatBoost,0.0002536942188898313,725.6400869343104
Mornings,CatBoost,0.00026469328147564513,725.6400869343104
Mornings,CatBoost,0.000275692344061459,725.6400869343104
Mornings,CatBoost,0.0002866914066472729,726.227837680041
Mornings,CatBoost,0.00029769046923308677,726.227837680041
Mornings,CatBoost,0.00030868953181890067,726.227837680041
Mornings,CatBoost,0.00031968859440471457,726.227837680041
Mornings,CatBoost,0.0003306876569905284,724.0564931434977
Mornings,CatBoost,0.0003416867195763423,724.019675165537
Mornings,CatBoost,0.00035268578216215616,723.9905573135321
Mornings,CatBoost,0.00036368484474797006,723.9905573135321
Mornings,CatBoost,0.00037468390733378396,723.9905573135321
Mornings,CatBoost,0.0003856829699195978,723.9905573135321
Mornings,CatBoost,0.0003966820325054117,723.9073222632073
Mornings,CatBoost,0.00040768109509122555,725.5142480056851
Mornings,CatBoost,0.00041868015767703944,725.5142480056851
Mornings,CatBoost,0.00042967922026285334,725.5142480056851
Mornings,CatBoost,0.0004406782828486672,726.0127910985871
Mornings,CatBoost,0.0004516773454344811,726.0127910985871
Mornings,CatBoost,0.000462676408020295,726.0127910985871
Mornings,CatBoost,0.00047367547060610883,726.0127910985871
Mornings,CatBoost,0.00048467453319192273,726.0127910985871
Mornings,CatBoost,0.0004956735957777366,726.0127910985871
Mornings,CatBoost,0.0005066726583635504,727.1842607109726
Mornings,CatBoost,0.0005176717209493643,727.1842607109726
Mornings,CatBoost,0.0005286707835351782,727.1842607109726
Mornings,CatBoost,0.0005396698461209921,727.1842607109726
Mornings,CatBoost,0.0005506689087068059,727.1842607109726
Mornings,CatBoost,0.0005616679712926199,727.1842607109726
Mornings,CatBoost,0.0005726670338784337,727.1842607109726
Mornings,CatBoost,0.0005836660964642476,727.2389553672593
Mornings,CatBoost,0.0005946651590500615,727.2389553672593
Mornings,CatBoost,0.0006056642216358753,727.2389553672593
Mornings,CatBoost,0.0006166632842216892,727.2389553672593
Mornings,CatBoost,0.0006276623468075031,727.2389553672593
Mornings,CatBoost,0.000638661409393317,727.2389553672593
Mornings,CatBoost,0.0006496604719791308,727.2664115560231
Mornings,CatBoost,0.0006606595345649447,727.2664115560231
Mornings,CatBoost,0.0006716585971507586,727.2664115560231
Mornings,CatBoost,0.0006826576597365725,727.265170862241
Mornings,CatBoost,0.0006936567223223863,727.265170862241
Mornings,CatBoost,0.0007046557849082003,727.265170862241
Mornings,CatBoost,0.0007156548474940141,727.265170862241
Mornings,CatBoost,0.000726653910079828,727.265170862241
Mornings,CatBoost,0.0007376529726656419,727.265170862241
Mornings,CatBoost,0.0007486520352514558,727.265170862241
Mornings,CatBoost,0.0007596510978372696,727.265170862241
Mornings,CatBoost,0.0007706501604230836,727.265170862241
Mornings,CatBoost,0.0007816492230088974,727.265170862241
Mornings,CatBoost,0.0007926482855947113,727.265170862241
Mornings,CatBoost,0.0008036473481805251,727.265170862241
Mornings,CatBoost,0.000814646410766339,727.265170862241
Mornings,CatBoost,0.0008256454733521529,727.265170862241
Mornings,CatBoost,0.0008366445359379667,727.265170862241
Mornings,CatBoost,0.0008476435985237807,727.265170862241
Mornings,CatBoost,0.0008586426611095945,727.4002346047774
Mornings,CatBoost,0.0008696417236954084,727.4002346047774
Mornings,CatBoost,0.0008806407862812223,727.4590173760309
Mornings,CatBoost,0.0008916398488670362,727.4590173760309
Mornings,CatBoost,0.00090263891145285,724.8334601136667
Mornings,CatBoost,0.000913637974038664,724.8334601136667
Mornings,CatBoost,0.0009246370366244778,724.8334601136667
Mornings,CatBoost,0.0009356360992102917,724.8334601136667
Mornings,CatBoost,0.0009466351617961056,724.8334601136667
Mornings,CatBoost,0.0009576342243819195,724.8334601136667
Mornings,CatBoost,0.0009686332869677333,724.8334601136667
Mornings,CatBoost,0.0009796323495535474,724.8334601136667
Mornings,CatBoost,0.0009906314121393611,724.8334601136667
Mornings,CatBoost,0.001001630474725175,724.8334601136667
Mornings,CatBoost,0.001012629537310989,724.0207798837017
Mornings,CatBoost,0.0010236285998968028,724.0207798837017
Mornings,CatBoost,0.0010346276624826167,724.0207798837017
Mornings,CatBoost,0.0010456267250684307,724.0207798837017
Mornings,CatBoost,0.0010566257876542444,724.0207798837017
Mornings,CatBoost,0.0010676248502400584,724.0207798837017
Mornings,CatBoost,0.0010786239128258723,724.0207798837017
Mornings,CatBoost,0.001089622975411686,724.0207798837017
Mornings,CatBoost,0.0011006220379975,724.0207798837017
Afternoons,CatBoost,1.171484200192592e-05,1145.3829499260369
Afternoons,CatBoost,2.27139045877398e-05,1145.3829499260369
Afternoons,CatBoost,3.371296717355368e-05,1145.8087549647723
Afternoons,CatBoost,4.471202975936756e-05,1145.8087549647723
Afternoons,CatBoost,5.571109234518144e-05,1145.8087549647723
Afternoons,CatBoost,6.671015493099531e-05,1145.8087549647723
Afternoons,CatBoost,7.77092175168092e-05,1145.8087549647723
Afternoons,CatBoost,8.870828010262308e-05,1145.86946991621
Afternoons,CatBoost,9.970734268843695e-05,1145.86946991621
Afternoons,CatBoost,0.00011070640527425082,1145.86946991621
Afternoons,CatBoost,0.00012170546786006471,1145.86946991621
Afternoons,CatBoost,0.00013270453044587858,1145.86946991621
Afternoons,CatBoost,0.00014370359303169245,1144.7713452178605
Afternoons,CatBoost,0.00015470265561750633,1143.6196332410032
Afternoons,CatBoost,0.00016570171820332023,1143.6196332410032
Afternoons,CatBoost,0.0001767007807891341,1143.6196332410032
Afternoons,CatBoost,0.00018769984337494797,1143.6196332410032
Afternoons,CatBoost,0.00019869890596076184,1169.2004884354362
Afternoons,CatBoost,0.0002096979685465757,1220.4485532674125
Afternoons,CatBoost,0.0002206970311323896,1220.4485532674125
Afternoons,CatBoost,0.00023169609371820348,1220.4485532674125
Afternoons,CatBoost,0.00024269515630401736,1220.3543161696039
Afternoons,CatBoost,0.0002536942188898313,1220.3543161696039
Afternoons,CatBoost,0.00026469328147564513,1226.6234082307997
Afternoons,CatBoost,0.000275692344061459,1226.6234082307997
Afternoons,CatBoost,0.0002866914066472729,1226.6234082307997
Afternoons,CatBoost,0.00029769046923308677,1226.6234082307997
Afternoons,CatBoost,0.00030868953181890067,1226.6234082307997
Afternoons,CatBoost,0.00031968859440471457,1226.6234082307997
Afternoons,CatBoost,0.0003306876569905284,1226.6234082307997
Afternoons,CatBoost,0.0003416867195763423,1226.6234082307997
Afternoons,CatBoost,0.00035268578216215616,1226.6234082307997
Afternoons,CatBoost,0.00036368484474797006,1226.6234082307997
Afternoons,CatBoost,0.00037468390733378396,1226.6234082307997
Afternoons,CatBoost,0.0003856829699195978,1226.6234082307997
Afternoons,CatBoost,0.0003966820325054117,1226.020551027392
Afternoons,CatBoost,0.00040768109509122555,1224.5616055505418
Afternoons,CatBoost,0.00041868015767703944,1224.5616055505418
Afternoons,CatBoost,0.00042967922026285334,1224.7518402094258
Afternoons,CatBoost,0.0004406782828486672,1230.0082034538943
Afternoons,CatBoost,0.0004516773454344811,1230.0082034538943
Afternoons,CatBoost,0.000462676408020295,1230.0082034538943
Afternoons,CatBoost,0.00047367547060610883,1230.0082034538943
Afternoons,CatBoost,0.00048467453319192273,1230.0082034538943
Afternoons,CatBoost,0.0004956735957777366,1230.0082034538943
Afternoons,CatBoost,0.0005066726583635504,1258.5871181360374
Afternoons,CatBoost,0.0005176717209493643,1258.5871181360374
Afternoons,CatBoost,0.0005286707835351782,1258.5871181360374
Afternoons,CatBoost,0.0005396698461209921,1258.5871181360374
Afternoons,CatBoost,0.0005506689087068059,1258.5871181360374
Afternoons,CatBoost,0.0005616679712926199,1258.5871181360374
Afternoons,CatBoost,0.0005726670338784337,1258.5871181360374
Afternoons,CatBoost,0.0005836660964642476,1258.601727972444
Afternoons,CatBoost,0.0005946651590500615,1258.871697838335
Afternoons,CatBoost,0.0006056642216358753,1258.7910223832332
Afternoons,CatBoost,0.0006166632842216892,1258.7910223832332
Afternoons,CatBoost,0.0006276623468075031,1258.7910223832332
Afternoons,CatBoost,0.000638661409393317,1258.7910223832332
Afternoons,CatBoost,0.0006496604719791308,1258.7910223832332
Afternoons,CatBoost,0.0006606595345649447,1258.7910223832332
Afternoons,CatBoost,0.0006716585971507586,1258.7910223832332
Afternoons,CatBoost,0.0006826576597365725,1258.7910223832332
