Dataset,Model,5 Building use diversity,Predicted Value
All,CatBoost,0.0,659.913508225353
All,CatBoost,0.001986860706825035,608.1903070190089
All,CatBoost,0.00397372141365007,606.7060803160966
All,CatBoost,0.0059605821204751054,607.7912009073316
All,CatBoost,0.00794744282730014,604.7908469256689
All,CatBoost,0.009934303534125177,603.8775269957811
All,CatBoost,0.011921164240950211,606.8884738240879
All,CatBoost,0.013908024947775245,599.4536683957417
All,CatBoost,0.01589488565460028,595.6841615242403
All,CatBoost,0.017881746361425317,570.9514992576605
All,CatBoost,0.019868607068250353,558.4280106929065
All,CatBoost,0.021855467775075386,558.1959433849595
All,CatBoost,0.023842328481900422,558.2070000831301
All,CatBoost,0.025829189188725458,558.5594373596691
All,CatBoost,0.02781604989555049,572.9750136984826
All,CatBoost,0.029802910602375526,572.9750136984826
All,CatBoost,0.03178977130920056,572.9750136984826
All,CatBoost,0.0337766320160256,572.9750136984826
All,CatBoost,0.035763492722850634,572.9750136984826
All,CatBoost,0.03775035342967567,572.9750136984826
All,CatBoost,0.039737214136500706,572.9750136984826
All,CatBoost,0.041724074843325736,572.9750136984826
All,CatBoost,0.04371093555015077,572.9750136984826
All,CatBoost,0.04569779625697581,572.9750136984826
All,CatBoost,0.047684656963800844,572.9750136984826
All,CatBoost,0.04967151767062588,572.9750136984826
All,CatBoost,0.051658378377450916,572.9750136984826
All,CatBoost,0.05364523908427595,572.9750136984826
All,CatBoost,0.05563209979110098,572.9750136984826
All,CatBoost,0.05761896049792602,572.9750136984826
All,CatBoost,0.05960582120475105,572.9750136984826
All,CatBoost,0.06159268191157609,572.9750136984826
All,CatBoost,0.06357954261840112,572.9750136984826
All,CatBoost,0.06556640332522616,572.9750136984826
All,CatBoost,0.0675532640320512,572.9750136984826
All,CatBoost,0.06954012473887623,572.9750136984826
All,CatBoost,0.07152698544570127,572.9750136984826
All,CatBoost,0.0735138461525263,572.9750136984826
All,CatBoost,0.07550070685935134,572.9750136984826
All,CatBoost,0.07748756756617638,572.9750136984826
All,CatBoost,0.07947442827300141,572.9750136984826
All,CatBoost,0.08146128897982644,572.9750136984826
All,CatBoost,0.08344814968665147,572.9750136984826
All,CatBoost,0.08543501039347651,572.9750136984826
All,CatBoost,0.08742187110030154,579.4604802313693
All,CatBoost,0.08940873180712658,579.4604802313693
All,CatBoost,0.09139559251395162,572.2404642895809
All,CatBoost,0.09338245322077665,572.2404642895809
All,CatBoost,0.09536931392760169,572.2404642895809
All,CatBoost,0.09735617463442672,572.2404642895809
All,CatBoost,0.09934303534125176,572.2404642895809
All,CatBoost,0.1013298960480768,572.2404642895809
All,CatBoost,0.10331675675490183,572.2404642895809
All,CatBoost,0.10530361746172687,572.2404642895809
All,CatBoost,0.1072904781685519,572.2404642895809
All,CatBoost,0.10927733887537694,572.2404642895809
All,CatBoost,0.11126419958220196,572.2404642895809
All,CatBoost,0.113251060289027,572.2404642895809
All,CatBoost,0.11523792099585203,572.2404642895809
All,CatBoost,0.11722478170267707,572.2404642895809
All,CatBoost,0.1192116424095021,572.2404642895809
All,CatBoost,0.12119850311632714,572.2404642895809
All,CatBoost,0.12318536382315218,572.2404642895809
All,CatBoost,0.12517222452997723,572.2404642895809
All,CatBoost,0.12715908523680225,572.2404642895809
All,CatBoost,0.12914594594362727,572.2404642895809
All,CatBoost,0.13113280665045232,572.2404642895809
All,CatBoost,0.13311966735727734,572.2404642895809
All,CatBoost,0.1351065280641024,572.2404642895809
All,CatBoost,0.13709338877092742,572.2404642895809
All,CatBoost,0.13908024947775247,572.2404642895809
All,CatBoost,0.1410671101845775,572.2404642895809
All,CatBoost,0.14305397089140254,572.2404642895809
All,CatBoost,0.14504083159822756,572.2404642895809
All,CatBoost,0.1470276923050526,572.2404642895809
All,CatBoost,0.14901455301187763,572.2404642895809
All,CatBoost,0.15100141371870268,572.2404642895809
All,CatBoost,0.1529882744255277,572.2404642895809
All,CatBoost,0.15497513513235275,572.2404642895809
All,CatBoost,0.15696199583917778,572.2404642895809
All,CatBoost,0.15894885654600283,572.2404642895809
All,CatBoost,0.16093571725282785,574.4805766602648
All,CatBoost,0.16292257795965287,574.9133640366852
All,CatBoost,0.16490943866647792,581.1401724569386
All,CatBoost,0.16689629937330294,581.9375078543313
All,CatBoost,0.168883160080128,581.9375078543313
All,CatBoost,0.17087002078695301,581.9375078543313
All,CatBoost,0.17285688149377806,581.9375078543313
All,CatBoost,0.1748437422006031,581.9375078543313
All,CatBoost,0.17683060290742814,581.9375078543313
All,CatBoost,0.17881746361425316,581.9375078543313
All,CatBoost,0.1808043243210782,581.9375078543313
All,CatBoost,0.18279118502790323,581.9375078543313
All,CatBoost,0.18477804573472828,581.9375078543313
All,CatBoost,0.1867649064415533,581.9170490704721
All,CatBoost,0.18875176714837835,581.9170490704721
All,CatBoost,0.19073862785520337,581.9170490704721
All,CatBoost,0.1927254885620284,581.9170490704721
All,CatBoost,0.19471234926885345,581.9170490704721
All,CatBoost,0.1966992099756785,580.8888673542837
All,LightGBM,0.0,710.9566118310518
All,LightGBM,0.001986860706825035,671.1118864088494
All,LightGBM,0.00397372141365007,619.566792134374
All,LightGBM,0.0059605821204751054,619.0229701622998
All,LightGBM,0.00794744282730014,621.8812438749734
All,LightGBM,0.009934303534125177,619.000778850485
All,LightGBM,0.011921164240950211,619.868012488704
All,LightGBM,0.013908024947775245,589.5835935983206
All,LightGBM,0.01589488565460028,580.5941377008237
All,LightGBM,0.017881746361425317,546.2646343697575
All,LightGBM,0.019868607068250353,531.8352566501604
All,LightGBM,0.021855467775075386,524.1691250443191
All,LightGBM,0.023842328481900422,524.4195704051263
All,LightGBM,0.025829189188725458,522.6642776632738
All,LightGBM,0.02781604989555049,522.6642776632738
All,LightGBM,0.029802910602375526,522.6642776632738
All,LightGBM,0.03178977130920056,522.6642776632738
All,LightGBM,0.0337766320160256,522.6642776632738
All,LightGBM,0.035763492722850634,517.7530952124554
All,LightGBM,0.03775035342967567,517.7530952124554
All,LightGBM,0.039737214136500706,517.7281521696455
All,LightGBM,0.041724074843325736,517.6681096613738
All,LightGBM,0.04371093555015077,517.6681096613738
All,LightGBM,0.04569779625697581,517.6681096613738
All,LightGBM,0.047684656963800844,517.6681096613738
All,LightGBM,0.04967151767062588,517.6681096613738
All,LightGBM,0.051658378377450916,517.6681096613738
All,LightGBM,0.05364523908427595,517.6681096613738
All,LightGBM,0.05563209979110098,517.7277941884391
All,LightGBM,0.05761896049792602,517.8950043795561
All,LightGBM,0.05960582120475105,517.5970974382183
All,LightGBM,0.06159268191157609,517.5970974382183
All,LightGBM,0.06357954261840112,517.5970974382183
All,LightGBM,0.06556640332522616,517.5832888162842
All,LightGBM,0.0675532640320512,517.5832888162842
All,LightGBM,0.06954012473887623,517.5832888162842
All,LightGBM,0.07152698544570127,517.5832888162842
All,LightGBM,0.0735138461525263,517.5832888162842
All,LightGBM,0.07550070685935134,517.5832888162842
All,LightGBM,0.07748756756617638,517.5832888162842
All,LightGBM,0.07947442827300141,517.5832888162842
All,LightGBM,0.08146128897982644,517.5832888162842
