Dataset,Model,5 Edge length avg,Predicted Value
Lunches,LightGBM,17.186690402476806,1098.0012434469013
Lunches,LightGBM,17.439927635488033,1098.0012434469013
Lunches,LightGBM,17.69316486849926,1098.0012434469013
Lunches,LightGBM,17.946402101510486,1098.0012434469013
Lunches,LightGBM,18.199639334521713,1098.0012434469013
Lunches,LightGBM,18.45287656753294,1097.9209295632165
Lunches,LightGBM,18.706113800544166,1097.9209295632165
Lunches,LightGBM,18.959351033555393,1097.9209295632165
Lunches,LightGBM,19.21258826656662,1098.1379245362605
Lunches,LightGBM,19.465825499577846,1098.1379245362605
Lunches,LightGBM,19.71906273258907,1098.1379245362605
Lunches,LightGBM,19.972299965600296,1098.1379245362605
Lunches,LightGBM,20.225537198611523,1097.9918252598936
Lunches,LightGBM,20.47877443162275,1097.9918252598936
Lunches,LightGBM,20.732011664633976,1097.9918252598936
Lunches,LightGBM,20.985248897645203,1097.9918252598936
Lunches,LightGBM,21.23848613065643,1098.8010029833008
Lunches,LightGBM,21.491723363667656,1098.8010029833008
Lunches,LightGBM,21.744960596678883,1098.8010029833008
Lunches,LightGBM,21.99819782969011,1098.8010029833008
Lunches,LightGBM,22.251435062701336,1098.8010029833008
Lunches,LightGBM,22.504672295712563,1098.8010029833008
Lunches,LightGBM,22.757909528723786,1098.8010029833008
Lunches,LightGBM,23.011146761735013,1098.5939926805129
Lunches,LightGBM,23.26438399474624,1098.456467779753
Lunches,LightGBM,23.517621227757466,1098.4056643721526
Lunches,LightGBM,23.770858460768693,1087.3581282787054
Lunches,LightGBM,24.02409569377992,1089.8328720804113
Lunches,LightGBM,24.277332926791146,1090.0751053436252
Lunches,LightGBM,24.530570159802373,1089.895498895113
Lunches,LightGBM,24.7838073928136,1085.6124918074186
Lunches,LightGBM,25.037044625824826,1085.5904946824114
Lunches,LightGBM,25.290281858836053,1085.6052066173822
Lunches,LightGBM,25.54351909184728,1085.4147384764058
Lunches,LightGBM,25.796756324858507,1085.9224089431814
Lunches,LightGBM,26.049993557869733,1089.2964260888334
Lunches,LightGBM,26.30323079088096,1089.2964260888334
Lunches,LightGBM,26.556468023892187,1087.180926237532
Lunches,LightGBM,26.809705256903413,1090.203756434553
Lunches,LightGBM,27.06294248991464,1090.2334437867373
Lunches,LightGBM,27.316179722925867,1090.2334437867373
Lunches,LightGBM,27.569416955937093,1090.2334437867373
Lunches,LightGBM,27.82265418894832,1090.2334437867373
Lunches,LightGBM,28.075891421959547,1090.2334437867373
Lunches,LightGBM,28.32912865497077,1090.2297467610967
Lunches,LightGBM,28.582365887981997,1090.2297467610967
Lunches,LightGBM,28.835603120993223,1090.2297467610967
Lunches,LightGBM,29.08884035400445,1090.2297467610967
Lunches,LightGBM,29.342077587015677,1090.2297467610967
Lunches,LightGBM,29.595314820026903,1090.2297467610967
Lunches,LightGBM,29.84855205303813,1090.2658223600479
Lunches,LightGBM,30.101789286049357,1091.2777896477987
Lunches,LightGBM,30.355026519060583,1091.2777896477987
Lunches,LightGBM,30.608263752071807,1091.2777896477987
Lunches,LightGBM,30.861500985083033,1095.1689287478694
Lunches,LightGBM,31.11473821809426,1095.1689287478694
Lunches,LightGBM,31.367975451105487,1095.1689287478694
Lunches,LightGBM,31.621212684116713,1360.4821696344395
Lunches,LightGBM,31.87444991712794,1360.4821696344395
Lunches,LightGBM,32.12768715013917,1357.4483263873835
Lunches,LightGBM,32.38092438315039,1357.4483263873835
Lunches,LightGBM,32.63416161616162,1357.4483263873835
Lunches,LightGBM,32.88739884917285,1357.4483263873835
Lunches,LightGBM,33.14063608218407,1357.4483263873835
Lunches,LightGBM,33.3938733151953,1357.4483263873835
Lunches,LightGBM,33.64711054820653,1357.4483263873835
Lunches,LightGBM,33.900347781217754,1357.4483263873835
Lunches,LightGBM,34.15358501422898,1357.4483263873835
Lunches,LightGBM,34.40682224724021,1357.4483263873835
Lunches,LightGBM,34.660059480251434,1357.4483263873835
Lunches,LightGBM,34.91329671326266,1357.4483263873835
Lunches,LightGBM,35.16653394627389,1357.4483263873835
Lunches,LightGBM,35.419771179285114,1357.4483263873835
Lunches,LightGBM,35.67300841229634,1357.4483263873835
Lunches,LightGBM,35.92624564530756,1357.4483263873835
Lunches,LightGBM,36.179482878318794,1357.4483263873835
Lunches,LightGBM,36.43272011133001,1357.4483263873835
Lunches,LightGBM,36.68595734434125,1357.4483263873835
Lunches,LightGBM,36.93919457735247,1357.4483263873835
Lunches,LightGBM,37.1924318103637,1357.4483263873835
Lunches,LightGBM,37.44566904337492,1357.4483263873835
Lunches,LightGBM,37.698906276386154,1357.4483263873835
Lunches,LightGBM,37.952143509397374,1357.4483263873835
Lunches,LightGBM,38.20538074240861,1357.4483263873835
Lunches,LightGBM,38.45861797541983,1357.4483263873835
Lunches,LightGBM,38.71185520843106,1357.4483263873835
Lunches,LightGBM,38.96509244144228,1357.4483263873835
Lunches,LightGBM,39.218329674453514,1357.4483263873835
Lunches,LightGBM,39.471566907464734,1357.4483263873835
Lunches,LightGBM,39.72480414047596,1357.4483263873835
Lunches,LightGBM,39.97804137348719,1357.4483263873835
Lunches,LightGBM,40.231278606498414,1357.4483263873835
Lunches,LightGBM,40.48451583950964,1357.4483263873835
Lunches,LightGBM,40.73775307252087,1357.4483263873835
Lunches,LightGBM,40.990990305532094,1357.4483263873835
Lunches,LightGBM,41.24422753854332,1357.4483263873835
Lunches,LightGBM,41.49746477155455,1357.4483263873835
Lunches,LightGBM,41.750702004565774,1357.4483263873835
Lunches,LightGBM,42.003939237577,1357.4483263873835
Lunches,LightGBM,42.25717647058823,1357.4483263873835
Lunches,XGBoost,17.186690402476806,1109.2767333984375
Lunches,XGBoost,17.439927635488033,1109.2767333984375
Lunches,XGBoost,17.69316486849926,1109.2767333984375
Lunches,XGBoost,17.946402101510486,1109.2767333984375
Lunches,XGBoost,18.199639334521713,1109.2767333984375
Lunches,XGBoost,18.45287656753294,1109.42236328125
Lunches,XGBoost,18.706113800544166,1109.42236328125
Lunches,XGBoost,18.959351033555393,1109.42236328125
Lunches,XGBoost,19.21258826656662,1109.42236328125
Lunches,XGBoost,19.465825499577846,1109.42236328125
Lunches,XGBoost,19.71906273258907,1109.42236328125
Lunches,XGBoost,19.972299965600296,1109.42236328125
Lunches,XGBoost,20.225537198611523,1110.48583984375
Lunches,XGBoost,20.47877443162275,1110.471923828125
Lunches,XGBoost,20.732011664633976,1110.471923828125
Lunches,XGBoost,20.985248897645203,1110.471923828125
Lunches,XGBoost,21.23848613065643,1110.471923828125
Lunches,XGBoost,21.491723363667656,1110.471923828125
Lunches,XGBoost,21.744960596678883,1110.471923828125
Lunches,XGBoost,21.99819782969011,1110.471923828125
Lunches,XGBoost,22.251435062701336,1110.471923828125
Lunches,XGBoost,22.504672295712563,1110.471923828125
Lunches,XGBoost,22.757909528723786,1110.471923828125
Lunches,XGBoost,23.011146761735013,1110.471923828125
Lunches,XGBoost,23.26438399474624,1110.261474609375
Lunches,XGBoost,23.517621227757466,1110.0240478515625
Lunches,XGBoost,23.770858460768693,1109.85400390625
Lunches,XGBoost,24.02409569377992,1110.5552978515625
Lunches,XGBoost,24.277332926791146,1110.1939697265625
Lunches,XGBoost,24.530570159802373,1110.6124267578125
Lunches,XGBoost,24.7838073928136,1110.6429443359375
Lunches,XGBoost,25.037044625824826,1109.801513671875
Lunches,XGBoost,25.290281858836053,1109.218994140625
Lunches,XGBoost,25.54351909184728,1109.2442626953125
Lunches,XGBoost,25.796756324858507,1109.3349609375
Lunches,XGBoost,26.049993557869733,1109.3349609375
Lunches,XGBoost,26.30323079088096,1109.3349609375
Lunches,XGBoost,26.556468023892187,1084.807861328125
Lunches,XGBoost,26.809705256903413,1085.025146484375
Lunches,XGBoost,27.06294248991464,1085.025146484375
Lunches,XGBoost,27.316179722925867,1085.025146484375
Lunches,XGBoost,27.569416955937093,1085.025146484375
Lunches,XGBoost,27.82265418894832,1085.025146484375
Lunches,XGBoost,28.075891421959547,1085.025146484375
Lunches,XGBoost,28.32912865497077,1085.025146484375
Lunches,XGBoost,28.582365887981997,1085.025146484375
Lunches,XGBoost,28.835603120993223,1085.025146484375
Lunches,XGBoost,29.08884035400445,1085.025146484375
Lunches,XGBoost,29.342077587015677,1085.025146484375
Lunches,XGBoost,29.595314820026903,1085.025146484375
Lunches,XGBoost,29.84855205303813,1086.6556396484375
Lunches,XGBoost,30.101789286049357,1086.6556396484375
Lunches,XGBoost,30.355026519060583,1086.6556396484375
Lunches,XGBoost,30.608263752071807,1089.2210693359375
Lunches,XGBoost,30.861500985083033,1089.2210693359375
Lunches,XGBoost,31.11473821809426,1089.2210693359375
Lunches,XGBoost,31.367975451105487,1089.197021484375
