Dataset,Model,5 Green area,Predicted Value
Mornings,LightGBM,0.0,761.6364104397269
Mornings,LightGBM,970.8713131313131,751.4399693917944
Mornings,LightGBM,1941.7426262626261,741.8050089089705
Mornings,LightGBM,2912.6139393939393,741.8806513783911
Mornings,LightGBM,3883.4852525252522,741.8685481965655
Mornings,LightGBM,4854.356565656565,740.0757216816452
Mornings,LightGBM,5825.227878787879,713.8643862688839
Mornings,LightGBM,6796.099191919191,713.8106063761091
Mornings,LightGBM,7766.9705050505045,712.2477058122787
Mornings,LightGBM,8737.841818181818,712.0345407970792
Mornings,LightGBM,9708.71313131313,712.0275483977147
Mornings,LightGBM,10679.584444444443,713.110155883517
Mornings,LightGBM,11650.455757575757,713.110155883517
Mornings,LightGBM,12621.32707070707,713.110155883517
Mornings,LightGBM,13592.198383838382,713.110155883517
Mornings,LightGBM,14563.069696969696,713.110155883517
Mornings,LightGBM,15533.941010101009,713.110155883517
Mornings,LightGBM,16504.812323232323,713.110155883517
Mornings,LightGBM,17475.683636363636,713.1586881662834
Mornings,LightGBM,18446.55494949495,713.3414827653398
Mornings,LightGBM,19417.42626262626,713.3414827653398
Mornings,LightGBM,20388.297575757573,713.3414827653398
Mornings,LightGBM,21359.168888888886,716.439793654347
Mornings,LightGBM,22330.040202020202,716.439793654347
Mornings,LightGBM,23300.911515151514,716.439793654347
Mornings,LightGBM,24271.782828282827,716.7647150885982
Mornings,LightGBM,25242.65414141414,716.7647150885982
Mornings,LightGBM,26213.52545454545,716.7647150885982
Mornings,LightGBM,27184.396767676764,716.7647150885982
Mornings,LightGBM,28155.26808080808,716.7647150885982
Mornings,LightGBM,29126.139393939393,716.7647150885982
Mornings,LightGBM,30097.010707070705,716.6269010324606
Mornings,LightGBM,31067.882020202018,716.6269010324606
Mornings,LightGBM,32038.75333333333,716.6269010324606
Mornings,LightGBM,33009.62464646465,716.6269010324606
Mornings,LightGBM,33980.49595959596,716.6269010324606
Mornings,LightGBM,34951.36727272727,716.6269010324606
Mornings,LightGBM,35922.238585858584,716.5536081213444
Mornings,LightGBM,36893.1098989899,716.5536081213444
Mornings,LightGBM,37863.98121212121,716.5536081213444
Mornings,LightGBM,38834.85252525252,716.5536081213444
Mornings,LightGBM,39805.723838383834,716.5536081213444
Mornings,LightGBM,40776.59515151515,716.5536081213444
Mornings,LightGBM,41747.46646464646,719.4920342169496
Mornings,LightGBM,42718.33777777777,719.4920342169496
Mornings,LightGBM,43689.20909090909,719.4920342169496
Mornings,LightGBM,44660.080404040404,719.4920342169496
Mornings,LightGBM,45630.951717171716,737.3610340190672
Mornings,LightGBM,46601.82303030303,737.3610340190672
Mornings,LightGBM,47572.69434343434,737.35741733771
Mornings,LightGBM,48543.56565656565,737.35741733771
Mornings,LightGBM,49514.436969696966,737.35741733771
Mornings,LightGBM,50485.30828282828,737.35741733771
Mornings,LightGBM,51456.17959595959,737.35741733771
