Dataset,Model,5 Tram count,Predicted Value
All,LightGBM,0.0,535.9727885594788
All,LightGBM,0.16161616161616163,543.71500097895
All,LightGBM,0.32323232323232326,543.71500097895
All,LightGBM,0.48484848484848486,543.71500097895
All,LightGBM,0.6464646464646465,543.71500097895
All,LightGBM,0.8080808080808082,543.71500097895
All,LightGBM,0.9696969696969697,543.71500097895
All,LightGBM,1.1313131313131315,543.71500097895
All,LightGBM,1.292929292929293,543.71500097895
All,LightGBM,1.4545454545454546,543.71500097895
All,LightGBM,1.6161616161616164,543.71500097895
All,LightGBM,1.777777777777778,543.71500097895
All,LightGBM,1.9393939393939394,543.71500097895
All,LightGBM,2.101010101010101,543.71500097895
All,LightGBM,2.262626262626263,543.71500097895
All,LightGBM,2.4242424242424243,543.71500097895
All,LightGBM,2.585858585858586,543.9449950519477
All,LightGBM,2.747474747474748,543.9449950519477
All,LightGBM,2.909090909090909,543.9449950519477
All,LightGBM,3.070707070707071,543.9449950519477
All,LightGBM,3.2323232323232327,543.9449950519477
All,LightGBM,3.393939393939394,543.9449950519477
All,LightGBM,3.555555555555556,542.0519431146444
All,LightGBM,3.7171717171717176,542.0519431146444
All,LightGBM,3.878787878787879,542.0519431146444
All,LightGBM,4.040404040404041,542.0519431146444
All,LightGBM,4.202020202020202,542.0519431146444
All,LightGBM,4.363636363636364,542.0519431146444
All,LightGBM,4.525252525252526,568.7209467059334
All,LightGBM,4.686868686868687,568.7209467059334
All,LightGBM,4.848484848484849,568.7209467059334
All,LightGBM,5.01010101010101,568.7209467059334
All,LightGBM,5.171717171717172,568.7209467059334
All,LightGBM,5.333333333333334,568.7209467059334
All,LightGBM,5.494949494949496,568.7209467059334
All,LightGBM,5.6565656565656575,580.1685488409864
All,LightGBM,5.818181818181818,580.1685488409864
All,LightGBM,5.97979797979798,580.1685488409864
All,LightGBM,6.141414141414142,580.1685488409864
All,LightGBM,6.303030303030304,580.1685488409864
All,LightGBM,6.464646464646465,580.1685488409864
All,LightGBM,6.626262626262627,579.0691187039199
All,LightGBM,6.787878787878788,579.0691187039199
All,LightGBM,6.94949494949495,579.0691187039199
All,LightGBM,7.111111111111112,579.0691187039199
All,LightGBM,7.272727272727273,579.0691187039199
All,LightGBM,7.434343434343435,579.0691187039199
All,LightGBM,7.595959595959597,579.1520697003787
All,LightGBM,7.757575757575758,579.1520697003787
All,LightGBM,7.91919191919192,579.1520697003787
All,LightGBM,8.080808080808081,579.1520697003787
All,LightGBM,8.242424242424244,579.1520697003787
All,LightGBM,8.404040404040405,579.1520697003787
All,LightGBM,8.565656565656566,578.9392529235492
All,LightGBM,8.727272727272728,578.9392529235492
All,LightGBM,8.88888888888889,578.9392529235492
All,LightGBM,9.050505050505052,578.9392529235492
All,LightGBM,9.212121212121213,578.9392529235492
All,LightGBM,9.373737373737374,578.9392529235492
All,LightGBM,9.535353535353536,580.1834652034426
All,LightGBM,9.696969696969697,580.1834652034426
All,LightGBM,9.85858585858586,580.1834652034426
All,LightGBM,10.02020202020202,580.1834652034426
All,LightGBM,10.181818181818183,580.1834652034426
All,LightGBM,10.343434343434344,580.1834652034426
All,LightGBM,10.505050505050505,579.7625069343304
All,LightGBM,10.666666666666668,579.7625069343304
All,LightGBM,10.828282828282829,579.7625069343304
All,LightGBM,10.989898989898991,579.7625069343304
All,LightGBM,11.151515151515152,579.7625069343304
All,LightGBM,11.313131313131315,579.7625069343304
All,LightGBM,11.474747474747476,579.7625069343304
All,LightGBM,11.636363636363637,602.1280030910484
All,LightGBM,11.7979797979798,602.1280030910484
All,LightGBM,11.95959595959596,602.1280030910484
All,LightGBM,12.121212121212123,602.1280030910484
All,LightGBM,12.282828282828284,602.1280030910484
All,LightGBM,12.444444444444445,602.1280030910484
All,LightGBM,12.606060606060607,623.3084946942171
All,LightGBM,12.767676767676768,623.3084946942171
All,LightGBM,12.92929292929293,623.3084946942171
All,LightGBM,13.090909090909092,623.3084946942171
All,LightGBM,13.252525252525254,623.3084946942171
All,LightGBM,13.414141414141415,623.3084946942171
All,LightGBM,13.575757575757576,623.3084946942171
All,LightGBM,13.737373737373739,623.3084946942171
All,LightGBM,13.8989898989899,623.3084946942171
All,LightGBM,14.060606060606062,622.823833281349
All,LightGBM,14.222222222222223,622.823833281349
All,LightGBM,14.383838383838386,622.823833281349
All,LightGBM,14.545454545454547,622.823833281349
All,LightGBM,14.707070707070708,622.823833281349
All,LightGBM,14.86868686868687,622.823833281349
All,LightGBM,15.030303030303031,622.823833281349
All,LightGBM,15.191919191919194,622.823833281349
All,LightGBM,15.353535353535355,622.823833281349
All,LightGBM,15.515151515151516,619.3768759144737
All,LightGBM,15.676767676767678,619.3768759144737
All,LightGBM,15.83838383838384,619.3768759144737
All,LightGBM,16.0,619.3768759144737
All,XGBoost,0.0,565.0026245117188
All,XGBoost,0.16161616161616163,565.0026245117188
All,XGBoost,0.32323232323232326,565.0026245117188
All,XGBoost,0.48484848484848486,565.0026245117188
All,XGBoost,0.6464646464646465,565.0026245117188
All,XGBoost,0.8080808080808082,565.0026245117188
All,XGBoost,0.9696969696969697,565.0026245117188
All,XGBoost,1.1313131313131315,565.0026245117188
All,XGBoost,1.292929292929293,565.0026245117188
All,XGBoost,1.4545454545454546,565.0026245117188
All,XGBoost,1.6161616161616164,565.0026245117188
