Dataset,Model,5 Walkable path length,Predicted Value
All,LightGBM,1423.16,602.9354870251522
All,LightGBM,1560.4276767676768,602.9354870251522
All,LightGBM,1697.6953535353537,602.9354870251522
All,LightGBM,1834.9630303030303,602.9354870251522
All,LightGBM,1972.230707070707,602.9354870251522
All,LightGBM,2109.498383838384,602.9354870251522
All,LightGBM,2246.766060606061,602.9354870251522
All,LightGBM,2384.0337373737375,602.9354870251522
All,LightGBM,2521.301414141414,602.9354870251522
All,LightGBM,2658.569090909091,602.9354870251522
All,LightGBM,2795.8367676767675,602.9354870251522
All,LightGBM,2933.104444444444,602.9354870251522
All,LightGBM,3070.372121212121,602.9354870251522
All,LightGBM,3207.639797979798,602.9354870251522
All,LightGBM,3344.9074747474747,602.9354870251522
All,LightGBM,3482.175151515152,602.9354870251522
All,LightGBM,3619.4428282828285,598.8057366683847
All,LightGBM,3756.710505050505,598.8057366683847
All,LightGBM,3893.978181818182,598.8057366683847
All,LightGBM,4031.2458585858585,598.8057366683847
All,LightGBM,4168.513535353535,598.8057366683847
All,LightGBM,4305.781212121212,598.8057366683847
All,LightGBM,4443.0488888888885,598.8057366683847
All,LightGBM,4580.316565656565,598.8057366683847
All,LightGBM,4717.584242424242,598.8057366683847
All,LightGBM,4854.8519191919195,598.8057366683847
All,LightGBM,4992.119595959596,598.8057366683847
All,LightGBM,5129.387272727273,598.8057366683847
All,LightGBM,5266.6549494949495,598.122096833281
All,LightGBM,5403.922626262626,598.122096833281
All,LightGBM,5541.190303030303,598.122096833281
All,LightGBM,5678.4579797979795,598.122096833281
All,LightGBM,5815.725656565656,598.122096833281
All,LightGBM,5952.993333333333,598.122096833281
All,LightGBM,6090.26101010101,598.122096833281
All,LightGBM,6227.528686868686,597.7181552916203
All,LightGBM,6364.796363636363,597.7181552916203
All,LightGBM,6502.06404040404,597.4106305795254
All,LightGBM,6639.331717171717,597.4106305795254
All,LightGBM,6776.599393939394,597.1707495037632
All,LightGBM,6913.8670707070705,597.1707495037632
All,LightGBM,7051.134747474747,597.1707495037632
All,LightGBM,7188.402424242424,596.8617733600357
All,LightGBM,7325.670101010101,596.8726220462949
All,LightGBM,7462.937777777777,596.8430401319556
All,LightGBM,7600.205454545454,596.8430401319556
All,LightGBM,7737.473131313131,597.4128274972288
All,LightGBM,7874.740808080807,597.4128274972288
All,LightGBM,8012.008484848484,597.4128274972288
All,LightGBM,8149.2761616161615,597.4128274972288
All,LightGBM,8286.54383838384,597.4128274972288
All,LightGBM,8423.811515151516,597.3602181741528
All,LightGBM,8561.079191919192,597.3602181741528
All,LightGBM,8698.34686868687,597.3602181741528
All,LightGBM,8835.614545454546,594.8407889592154
All,LightGBM,8972.882222222222,591.6580757201651
All,LightGBM,9110.1498989899,591.6580757201651
All,LightGBM,9247.417575757576,591.6580757201651
All,LightGBM,9384.685252525253,592.7745339045779
All,LightGBM,9521.95292929293,592.3865416175831
All,LightGBM,9659.220606060606,592.3865416175831
All,LightGBM,9796.488282828283,602.7855364461917
All,LightGBM,9933.75595959596,602.1262689290536
All,LightGBM,10071.023636363636,601.4057155742115
All,LightGBM,10208.291313131313,601.5885491623005
All,LightGBM,10345.55898989899,601.5640557751906
All,LightGBM,10482.826666666666,603.4389171411793
All,LightGBM,10620.094343434343,601.6699733999625
All,LightGBM,10757.36202020202,601.6699733999625
All,LightGBM,10894.629696969696,600.3689723707446
All,LightGBM,11031.897373737373,599.2879716727658
All,LightGBM,11169.16505050505,602.6239770580229
All,LightGBM,11306.432727272726,605.2944327225758
All,LightGBM,11443.700404040403,605.3371608817827
All,LightGBM,11580.96808080808,600.4159560228852
All,LightGBM,11718.235757575758,599.8132775530792
All,LightGBM,11855.503434343434,599.8132775530792
All,LightGBM,11992.771111111111,603.1703197878152
All,LightGBM,12130.038787878788,604.2581720583044
All,LightGBM,12267.306464646465,604.2581720583044
All,LightGBM,12404.574141414141,604.2581720583044
All,LightGBM,12541.841818181818,567.7851133723163
All,LightGBM,12679.109494949495,569.1540154621134
All,LightGBM,12816.377171717171,569.1540154621134
All,LightGBM,12953.644848484848,569.1540154621134
All,LightGBM,13090.912525252525,560.3660082208438
All,LightGBM,13228.180202020201,560.3660082208438
All,LightGBM,13365.447878787878,560.3660082208438
All,LightGBM,13502.715555555555,560.3660082208438
All,LightGBM,13639.983232323231,560.3660082208438
All,LightGBM,13777.250909090908,560.3660082208438
All,LightGBM,13914.518585858585,560.3660082208438
All,LightGBM,14051.786262626261,560.3660082208438
All,LightGBM,14189.053939393938,560.449322436201
All,LightGBM,14326.321616161615,560.449322436201
All,LightGBM,14463.589292929291,560.449322436201
All,LightGBM,14600.856969696968,560.449322436201
All,LightGBM,14738.124646464647,560.449322436201
All,LightGBM,14875.392323232323,560.449322436201
All,LightGBM,15012.66,560.449322436201
All,XGBoost,1423.16,588.9112548828125
All,XGBoost,1560.4276767676768,588.9112548828125
All,XGBoost,1697.6953535353537,588.9112548828125
All,XGBoost,1834.9630303030303,588.9112548828125
All,XGBoost,1972.230707070707,588.9112548828125
All,XGBoost,2109.498383838384,588.9112548828125
All,XGBoost,2246.766060606061,588.9112548828125
All,XGBoost,2384.0337373737375,588.9112548828125
All,XGBoost,2521.301414141414,588.9112548828125
All,XGBoost,2658.569090909091,588.9112548828125
All,XGBoost,2795.8367676767675,588.9112548828125
All,XGBoost,2933.104444444444,588.9112548828125
All,XGBoost,3070.372121212121,588.9112548828125
All,XGBoost,3207.639797979798,588.9112548828125
All,XGBoost,3344.9074747474747,588.9112548828125
All,XGBoost,3482.175151515152,588.9112548828125
All,XGBoost,3619.4428282828285,588.9112548828125
All,XGBoost,3756.710505050505,588.9112548828125
All,XGBoost,3893.978181818182,588.9112548828125
All,XGBoost,4031.2458585858585,587.8036499023438
All,XGBoost,4168.513535353535,587.8036499023438
All,XGBoost,4305.781212121212,580.8612670898438
All,XGBoost,4443.0488888888885,580.8612670898438
All,XGBoost,4580.316565656565,580.8612670898438
All,XGBoost,4717.584242424242,580.8612670898438
All,XGBoost,4854.8519191919195,580.8612670898438
All,XGBoost,4992.119595959596,580.8612670898438
All,XGBoost,5129.387272727273,580.8612670898438
All,XGBoost,5266.6549494949495,580.8612670898438
All,XGBoost,5403.922626262626,580.8612670898438
All,XGBoost,5541.190303030303,580.8612670898438
All,XGBoost,5678.4579797979795,580.8612670898438
All,XGBoost,5815.725656565656,580.8612670898438
All,XGBoost,5952.993333333333,580.8612670898438
All,XGBoost,6090.26101010101,580.8612670898438
All,XGBoost,6227.528686868686,580.8612670898438
All,XGBoost,6364.796363636363,580.8612670898438
All,XGBoost,6502.06404040404,580.8612670898438
All,XGBoost,6639.331717171717,585.7432250976562
All,XGBoost,6776.599393939394,585.7432250976562
All,XGBoost,6913.8670707070705,585.7684326171875
All,XGBoost,7051.134747474747,585.7684326171875
All,XGBoost,7188.402424242424,585.7684326171875
All,XGBoost,7325.670101010101,586.7898559570312
All,XGBoost,7462.937777777777,586.7898559570312
All,XGBoost,7600.205454545454,586.8094482421875
All,XGBoost,7737.473131313131,586.8094482421875
All,XGBoost,7874.740808080807,586.8094482421875
All,XGBoost,8012.008484848484,586.7845458984375
All,XGBoost,8149.2761616161615,586.7845458984375
All,XGBoost,8286.54383838384,586.7845458984375
All,XGBoost,8423.811515151516,586.7845458984375
All,XGBoost,8561.079191919192,586.7845458984375
All,XGBoost,8698.34686868687,589.1796264648438
All,XGBoost,8835.614545454546,590.2130737304688
All,XGBoost,8972.882222222222,590.2130737304688
All,XGBoost,9110.1498989899,589.8812866210938
All,XGBoost,9247.417575757576,589.8812866210938
All,XGBoost,9384.685252525253,589.8812866210938
All,XGBoost,9521.95292929293,591.4064331054688
All,XGBoost,9659.220606060606,591.6094360351562
All,XGBoost,9796.488282828283,591.3741455078125
All,XGBoost,9933.75595959596,592.5478515625
All,XGBoost,10071.023636363636,592.5478515625
All,XGBoost,10208.291313131313,592.5478515625
All,XGBoost,10345.55898989899,597.274169921875
All,XGBoost,10482.826666666666,595.1396484375
All,XGBoost,10620.094343434343,595.1396484375
All,XGBoost,10757.36202020202,595.9939575195312
All,XGBoost,10894.629696969696,595.3469848632812
