Dataset,Model,Building count,Predicted Value
Mornings,CatBoost,3.0,740.993797443352
Mornings,CatBoost,3.878787878787879,741.9716803894497
Mornings,CatBoost,4.757575757575758,742.982695278037
Mornings,CatBoost,5.636363636363637,743.3125464641527
Mornings,CatBoost,6.515151515151516,742.7069729856088
Mornings,CatBoost,7.393939393939394,742.7069729856088
Mornings,CatBoost,8.272727272727273,742.7069729856088
Mornings,CatBoost,9.151515151515152,742.6086982697274
Mornings,CatBoost,10.030303030303031,742.6086982697274
Mornings,CatBoost,10.90909090909091,742.6086982697274
Mornings,CatBoost,11.787878787878787,742.6086982697274
Mornings,CatBoost,12.666666666666666,742.5504046185292
Mornings,CatBoost,13.545454545454545,742.5504046185292
Mornings,CatBoost,14.424242424242424,742.5504046185292
Mornings,CatBoost,15.303030303030303,742.5504046185292
Mornings,CatBoost,16.18181818181818,742.5504046185292
Mornings,CatBoost,17.060606060606062,742.5504046185292
Mornings,CatBoost,17.939393939393938,742.5504046185292
Mornings,CatBoost,18.81818181818182,742.3165107978829
Mornings,CatBoost,19.696969696969695,742.3165107978829
Mornings,CatBoost,20.575757575757574,742.3165107978829
Mornings,CatBoost,21.454545454545453,742.3165107978829
Mornings,CatBoost,22.333333333333332,742.3165107978829
Mornings,CatBoost,23.21212121212121,742.3165107978829
Mornings,CatBoost,24.09090909090909,742.3165107978829
Mornings,CatBoost,24.96969696969697,742.3165107978829
Mornings,CatBoost,25.848484848484848,742.3165107978829
Mornings,CatBoost,26.727272727272727,742.3165107978829
Mornings,CatBoost,27.606060606060606,731.3317071269997
Mornings,CatBoost,28.484848484848484,731.3317071269997
Mornings,CatBoost,29.363636363636363,712.2200293477509
Mornings,CatBoost,30.242424242424242,712.2200293477509
Mornings,CatBoost,31.12121212121212,711.1811332476414
Mornings,CatBoost,32.0,711.1811332476414
Mornings,CatBoost,32.878787878787875,711.1811332476414
Mornings,CatBoost,33.75757575757576,711.130065781828
Mornings,CatBoost,34.63636363636364,711.130065781828
Mornings,CatBoost,35.515151515151516,711.130065781828
Mornings,CatBoost,36.39393939393939,711.130065781828
Mornings,CatBoost,37.27272727272727,711.0981039345031
Mornings,CatBoost,38.15151515151515,711.0981039345031
Mornings,CatBoost,39.03030303030303,714.3531618779372
Mornings,CatBoost,39.90909090909091,714.3531618779372
Mornings,CatBoost,40.78787878787879,714.3414005108456
Mornings,CatBoost,41.666666666666664,714.3414005108456
Mornings,CatBoost,42.54545454545455,710.3466314632174
Mornings,CatBoost,43.42424242424242,710.3466314632174
Mornings,CatBoost,44.303030303030305,697.8848257764258
Mornings,CatBoost,45.18181818181818,697.8848257764258
Mornings,CatBoost,46.06060606060606,693.4041047647557
Mornings,CatBoost,46.93939393939394,693.4041047647557
Mornings,CatBoost,47.81818181818182,693.4041047647557
Mornings,CatBoost,48.696969696969695,693.4041047647557
Mornings,CatBoost,49.57575757575758,693.4041047647557
Mornings,CatBoost,50.45454545454545,693.4041047647557
Mornings,CatBoost,51.333333333333336,693.4041047647557
Mornings,CatBoost,52.21212121212121,693.4041047647557
Mornings,CatBoost,53.09090909090909,693.4041047647557
Mornings,CatBoost,53.96969696969697,693.4041047647557
Mornings,CatBoost,54.84848484848485,693.4041047647557
Mornings,CatBoost,55.72727272727273,693.4041047647557
Mornings,CatBoost,56.60606060606061,693.4041047647557
Mornings,CatBoost,57.484848484848484,693.4041047647557
Mornings,CatBoost,58.36363636363637,693.4041047647557
Mornings,CatBoost,59.24242424242424,693.4041047647557
Mornings,CatBoost,60.12121212121212,693.4041047647557
Mornings,CatBoost,61.0,693.4041047647557
Mornings,CatBoost,61.878787878787875,693.4041047647557
Mornings,CatBoost,62.75757575757576,693.4041047647557
Mornings,CatBoost,63.63636363636363,693.4041047647557
Mornings,CatBoost,64.51515151515152,693.4041047647557
Mornings,CatBoost,65.39393939393939,693.4041047647557
Mornings,CatBoost,66.27272727272728,693.4041047647557
Mornings,CatBoost,67.15151515151516,693.4041047647557
Mornings,CatBoost,68.03030303030303,693.4041047647557
Mornings,CatBoost,68.9090909090909,693.4041047647557
Mornings,CatBoost,69.78787878787878,693.4041047647557
Mornings,CatBoost,70.66666666666667,693.4041047647557
Mornings,CatBoost,71.54545454545455,693.4041047647557
Mornings,CatBoost,72.42424242424242,693.4041047647557
Mornings,CatBoost,73.3030303030303,693.4041047647557
Mornings,CatBoost,74.18181818181819,693.4041047647557
Mornings,CatBoost,75.06060606060606,693.4041047647557
Mornings,CatBoost,75.93939393939394,693.4041047647557
Mornings,CatBoost,76.81818181818181,693.4041047647557
Mornings,CatBoost,77.6969696969697,693.4041047647557
Mornings,CatBoost,78.57575757575758,693.4041047647557
Mornings,CatBoost,79.45454545454545,693.4041047647557
Mornings,CatBoost,80.33333333333333,693.4041047647557
Mornings,CatBoost,81.21212121212122,693.4041047647557
Mornings,CatBoost,82.0909090909091,693.4041047647557
Mornings,CatBoost,82.96969696969697,693.4041047647557
Mornings,CatBoost,83.84848484848484,693.4041047647557
Mornings,CatBoost,84.72727272727273,693.1419571001182
Mornings,CatBoost,85.60606060606061,693.1419571001182
Mornings,CatBoost,86.48484848484848,693.1419571001182
Mornings,CatBoost,87.36363636363636,693.1419571001182
Mornings,CatBoost,88.24242424242424,693.1419571001182
Mornings,CatBoost,89.12121212121212,693.1419571001182
Mornings,CatBoost,90.0,693.1419571001182
Lunches,CatBoost,3.0,1132.1226540488751
Lunches,CatBoost,3.878787878787879,1131.767693280443
Lunches,CatBoost,4.757575757575758,1127.7123308119226
Lunches,CatBoost,5.636363636363637,1127.6857101640676
Lunches,CatBoost,6.515151515151516,1126.3454054549647
Lunches,CatBoost,7.393939393939394,1126.3454054549647
Lunches,CatBoost,8.272727272727273,1126.3345575364606
Lunches,CatBoost,9.151515151515152,1126.3406661638373
Lunches,CatBoost,10.030303030303031,1126.3406661638373
Lunches,CatBoost,10.90909090909091,1126.3406661638373
Lunches,CatBoost,11.787878787878787,1126.3406661638373
Lunches,CatBoost,12.666666666666666,1126.3406661638373
Lunches,CatBoost,13.545454545454545,1126.3406661638373
Lunches,CatBoost,14.424242424242424,1126.3406661638373
Lunches,CatBoost,15.303030303030303,1126.3406661638373
Lunches,CatBoost,16.18181818181818,1126.3406661638373
Lunches,CatBoost,17.060606060606062,1118.0920317804482
Lunches,CatBoost,17.939393939393938,1118.0920317804482
Lunches,CatBoost,18.81818181818182,1117.4530971876354
Lunches,CatBoost,19.696969696969695,1117.4530971876354
Lunches,CatBoost,20.575757575757574,1117.4530971876354
Lunches,CatBoost,21.454545454545453,1117.4530971876354
Lunches,CatBoost,22.333333333333332,1117.4530971876354
Lunches,CatBoost,23.21212121212121,1117.4530971876354
Lunches,CatBoost,24.09090909090909,1117.4530971876354
Lunches,CatBoost,24.96969696969697,1116.1351017709721
Lunches,CatBoost,25.848484848484848,1116.1351017709721
Lunches,CatBoost,26.727272727272727,1116.1351017709721
Lunches,CatBoost,27.606060606060606,1109.694251801674
Lunches,CatBoost,28.484848484848484,1109.694251801674
Lunches,CatBoost,29.363636363636363,1109.694251801674
Lunches,CatBoost,30.242424242424242,1109.7768054500434
Lunches,CatBoost,31.12121212121212,1104.5880050118706
Lunches,CatBoost,32.0,1104.5880050118706
Lunches,CatBoost,32.878787878787875,1104.5880050118706
Lunches,CatBoost,33.75757575757576,1104.4315095838115
Lunches,CatBoost,34.63636363636364,1104.4315095838115
Lunches,CatBoost,35.515151515151516,1104.4315095838115
Lunches,CatBoost,36.39393939393939,1104.4315095838115
Lunches,CatBoost,37.27272727272727,1087.3651375407208
Lunches,CatBoost,38.15151515151515,1087.3651375407208
Lunches,CatBoost,39.03030303030303,1093.5121149508202
Lunches,CatBoost,39.90909090909091,1093.5121149508202
