Dataset,Model,Building view mean,Predicted Value
All,CatBoost,0.043,623.1421300595566
All,CatBoost,0.0467111657111657,623.1421300595566
All,CatBoost,0.050422331422331414,623.1421300595566
All,CatBoost,0.05413349713349712,626.7163293262024
All,CatBoost,0.057844662844662824,626.7163293262024
All,CatBoost,0.06155582855582853,626.7163293262024
All,CatBoost,0.06526699426699424,626.7163293262024
All,CatBoost,0.06897815997815995,626.7163293262024
All,CatBoost,0.07268932568932565,626.7163293262024
All,CatBoost,0.07640049140049136,626.7163293262024
All,CatBoost,0.08011165711165708,626.7163293262024
All,CatBoost,0.08382282282282277,626.7163293262024
All,CatBoost,0.08753398853398849,626.7163293262024
All,CatBoost,0.0912451542451542,626.7163293262024
All,CatBoost,0.0949563199563199,627.7755732239726
All,CatBoost,0.09866748566748561,627.7755732239726
All,CatBoost,0.10237865137865132,627.7755732239726
All,CatBoost,0.10608981708981702,627.7755732239726
All,CatBoost,0.10980098280098273,627.7755732239726
All,CatBoost,0.11351214851214843,627.7755732239726
All,CatBoost,0.11722331422331414,627.7755732239726
All,CatBoost,0.12093447993447985,627.7755732239726
All,CatBoost,0.12464564564564555,625.9042167667924
All,CatBoost,0.12835681135681126,625.9042167667924
All,CatBoost,0.13206797706797696,625.9042167667924
All,CatBoost,0.13577914277914266,625.795612827439
All,CatBoost,0.13949030849030838,625.795612827439
All,CatBoost,0.1432014742014741,625.795612827439
All,CatBoost,0.1469126399126398,625.795612827439
All,CatBoost,0.1506238056238055,625.795612827439
All,CatBoost,0.1543349713349712,625.8933007739445
All,CatBoost,0.1580461370461369,625.8933007739445
All,CatBoost,0.16175730275730263,625.8933007739445
All,CatBoost,0.16546846846846835,625.8933007739445
All,CatBoost,0.16917963417963405,625.8933007739445
All,CatBoost,0.17289079989079975,625.8933007739445
All,CatBoost,0.17660196560196545,625.8933007739445
All,CatBoost,0.18031313131313115,625.8933007739445
All,CatBoost,0.18402429702429685,625.8933007739445
All,CatBoost,0.1877354627354626,625.8933007739445
All,CatBoost,0.1914466284466283,626.2575680617836
All,CatBoost,0.195157794157794,626.2575680617836
All,CatBoost,0.1988689598689597,626.2295800797481
All,CatBoost,0.2025801255801254,624.7881643487432
All,CatBoost,0.2062912912912911,624.7881643487432
All,CatBoost,0.21000245700245684,614.5177370351976
All,CatBoost,0.21371362271362254,614.1563736287656
All,CatBoost,0.21742478842478824,614.1563736287656
All,CatBoost,0.22113595413595394,614.2323904996132
All,CatBoost,0.22484711984711964,600.7420074634879
All,CatBoost,0.22855828555828533,600.7420074634879
All,CatBoost,0.2322694512694511,598.6956886766776
All,CatBoost,0.2359806169806168,597.4127292237763
