Dataset,Model,Day type,Predicted Value
All,CatBoost,0.0,628.2707349427887
All,CatBoost,0.010101010101010102,628.2707349427887
All,CatBoost,0.020202020202020204,628.2707349427887
All,CatBoost,0.030303030303030304,628.2707349427887
All,CatBoost,0.04040404040404041,628.2707349427887
All,CatBoost,0.05050505050505051,628.2707349427887
All,CatBoost,0.06060606060606061,628.2707349427887
All,CatBoost,0.07070707070707072,628.2707349427887
All,CatBoost,0.08080808080808081,628.2707349427887
All,CatBoost,0.09090909090909091,628.2707349427887
All,CatBoost,0.10101010101010102,628.2707349427887
All,CatBoost,0.11111111111111112,628.2707349427887
All,CatBoost,0.12121212121212122,628.2707349427887
All,CatBoost,0.13131313131313133,628.2707349427887
All,CatBoost,0.14141414141414144,628.2707349427887
All,CatBoost,0.15151515151515152,628.2707349427887
All,CatBoost,0.16161616161616163,628.2707349427887
All,CatBoost,0.17171717171717174,628.2707349427887
All,CatBoost,0.18181818181818182,628.2707349427887
All,CatBoost,0.19191919191919193,628.2707349427887
All,CatBoost,0.20202020202020204,628.2707349427887
All,CatBoost,0.21212121212121213,628.2707349427887
All,CatBoost,0.22222222222222224,628.2707349427887
All,CatBoost,0.23232323232323235,628.2707349427887
All,CatBoost,0.24242424242424243,628.2707349427887
All,CatBoost,0.25252525252525254,628.2707349427887
All,CatBoost,0.26262626262626265,628.2707349427887
All,CatBoost,0.27272727272727276,628.2707349427887
All,CatBoost,0.2828282828282829,628.2707349427887
All,CatBoost,0.29292929292929293,628.2707349427887
All,CatBoost,0.30303030303030304,628.2707349427887
All,CatBoost,0.31313131313131315,628.2707349427887
All,CatBoost,0.32323232323232326,628.2707349427887
All,CatBoost,0.33333333333333337,628.2707349427887
All,CatBoost,0.3434343434343435,628.2707349427887
All,CatBoost,0.3535353535353536,628.2707349427887
All,CatBoost,0.36363636363636365,628.2707349427887
All,CatBoost,0.37373737373737376,628.2707349427887
All,CatBoost,0.38383838383838387,628.2707349427887
All,CatBoost,0.393939393939394,628.2707349427887
All,CatBoost,0.4040404040404041,628.2707349427887
All,CatBoost,0.4141414141414142,628.2707349427887
All,CatBoost,0.42424242424242425,628.2707349427887
All,CatBoost,0.43434343434343436,628.2707349427887
All,CatBoost,0.4444444444444445,628.2707349427887
All,CatBoost,0.4545454545454546,628.2707349427887
All,CatBoost,0.4646464646464647,628.2707349427887
All,CatBoost,0.4747474747474748,628.2707349427887
All,CatBoost,0.48484848484848486,628.2707349427887
All,CatBoost,0.494949494949495,628.2707349427887
All,CatBoost,0.5050505050505051,512.7425075738512
All,CatBoost,0.5151515151515152,512.7425075738512
All,CatBoost,0.5252525252525253,512.7425075738512
All,CatBoost,0.5353535353535354,512.7425075738512
All,CatBoost,0.5454545454545455,512.7425075738512
All,CatBoost,0.5555555555555556,512.7425075738512
All,CatBoost,0.5656565656565657,512.7425075738512
All,CatBoost,0.5757575757575758,512.7425075738512
All,CatBoost,0.5858585858585859,512.7425075738512
All,CatBoost,0.595959595959596,512.7425075738512
All,CatBoost,0.6060606060606061,512.7425075738512
All,CatBoost,0.6161616161616162,512.7425075738512
All,CatBoost,0.6262626262626263,512.7425075738512
All,CatBoost,0.6363636363636365,512.7425075738512
All,CatBoost,0.6464646464646465,512.7425075738512
All,CatBoost,0.6565656565656566,512.7425075738512
All,CatBoost,0.6666666666666667,512.7425075738512
All,CatBoost,0.6767676767676768,512.7425075738512
All,CatBoost,0.686868686868687,512.7425075738512
All,CatBoost,0.696969696969697,512.7425075738512
All,CatBoost,0.7070707070707072,512.7425075738512
All,CatBoost,0.7171717171717172,512.7425075738512
All,CatBoost,0.7272727272727273,512.7425075738512
All,CatBoost,0.7373737373737375,512.7425075738512
All,CatBoost,0.7474747474747475,512.7425075738512
All,CatBoost,0.7575757575757577,512.7425075738512
All,CatBoost,0.7676767676767677,512.7425075738512
All,CatBoost,0.7777777777777778,512.7425075738512
All,CatBoost,0.787878787878788,512.7425075738512
All,CatBoost,0.797979797979798,512.7425075738512
All,CatBoost,0.8080808080808082,512.7425075738512
All,CatBoost,0.8181818181818182,512.7425075738512
All,CatBoost,0.8282828282828284,512.7425075738512
All,CatBoost,0.8383838383838385,512.7425075738512
All,CatBoost,0.8484848484848485,512.7425075738512
All,CatBoost,0.8585858585858587,512.7425075738512
All,CatBoost,0.8686868686868687,512.7425075738512
All,CatBoost,0.8787878787878789,512.7425075738512
All,CatBoost,0.888888888888889,512.7425075738512
All,CatBoost,0.8989898989898991,512.7425075738512
All,CatBoost,0.9090909090909092,512.7425075738512
All,CatBoost,0.9191919191919192,512.7425075738512
All,CatBoost,0.9292929292929294,512.7425075738512
All,CatBoost,0.9393939393939394,512.7425075738512
All,CatBoost,0.9494949494949496,512.7425075738512
All,CatBoost,0.9595959595959597,512.7425075738512
All,CatBoost,0.9696969696969697,512.7425075738512
All,CatBoost,0.9797979797979799,512.7425075738512
All,CatBoost,0.98989898989899,512.7425075738512
All,CatBoost,1.0,512.7425075738512
All,LightGBM,0.0,628.3633704927802
All,LightGBM,0.010101010101010102,512.4789777330228
All,LightGBM,0.020202020202020204,512.4789777330228
All,LightGBM,0.030303030303030304,512.4789777330228
All,LightGBM,0.04040404040404041,512.4789777330228
All,LightGBM,0.05050505050505051,512.4789777330228
All,LightGBM,0.06060606060606061,512.4789777330228
All,LightGBM,0.07070707070707072,512.4789777330228
All,LightGBM,0.08080808080808081,512.4789777330228
All,LightGBM,0.09090909090909091,512.4789777330228
All,LightGBM,0.10101010101010102,512.4789777330228
All,LightGBM,0.11111111111111112,512.4789777330228
All,LightGBM,0.12121212121212122,512.4789777330228
All,LightGBM,0.13131313131313133,512.4789777330228
All,LightGBM,0.14141414141414144,512.4789777330228
All,LightGBM,0.15151515151515152,512.4789777330228
All,LightGBM,0.16161616161616163,512.4789777330228
All,LightGBM,0.17171717171717174,512.4789777330228
All,LightGBM,0.18181818181818182,512.4789777330228
All,LightGBM,0.19191919191919193,512.4789777330228
All,LightGBM,0.20202020202020204,512.4789777330228
All,LightGBM,0.21212121212121213,512.4789777330228
All,LightGBM,0.22222222222222224,512.4789777330228
All,LightGBM,0.23232323232323235,512.4789777330228
All,LightGBM,0.24242424242424243,512.4789777330228
All,LightGBM,0.25252525252525254,512.4789777330228
All,LightGBM,0.26262626262626265,512.4789777330228
All,LightGBM,0.27272727272727276,512.4789777330228
All,LightGBM,0.2828282828282829,512.4789777330228
All,LightGBM,0.29292929292929293,512.4789777330228
All,LightGBM,0.30303030303030304,512.4789777330228
All,LightGBM,0.31313131313131315,512.4789777330228
All,LightGBM,0.32323232323232326,512.4789777330228
All,LightGBM,0.33333333333333337,512.4789777330228
All,LightGBM,0.3434343434343435,512.4789777330228
All,LightGBM,0.3535353535353536,512.4789777330228
All,LightGBM,0.36363636363636365,512.4789777330228
All,LightGBM,0.37373737373737376,512.4789777330228
All,LightGBM,0.38383838383838387,512.4789777330228
All,LightGBM,0.393939393939394,512.4789777330228
All,LightGBM,0.4040404040404041,512.4789777330228
All,LightGBM,0.4141414141414142,512.4789777330228
All,LightGBM,0.42424242424242425,512.4789777330228
All,LightGBM,0.43434343434343436,512.4789777330228
All,LightGBM,0.4444444444444445,512.4789777330228
All,LightGBM,0.4545454545454546,512.4789777330228
All,LightGBM,0.4646464646464647,512.4789777330228
All,LightGBM,0.4747474747474748,512.4789777330228
All,LightGBM,0.48484848484848486,512.4789777330228
All,LightGBM,0.494949494949495,512.4789777330228
All,LightGBM,0.5050505050505051,512.4789777330228
All,LightGBM,0.5151515151515152,512.4789777330228
