Dataset,Model,Day,Predicted Value
All,XGBoost,1.0,586.0128784179688
All,XGBoost,1.303030303030303,586.0128784179688
All,XGBoost,1.606060606060606,586.0128784179688
All,XGBoost,1.9090909090909092,586.0128784179688
All,XGBoost,2.212121212121212,576.6443481445312
All,XGBoost,2.515151515151515,576.6443481445312
All,XGBoost,2.8181818181818183,576.6443481445312
All,XGBoost,3.121212121212121,577.6307373046875
All,XGBoost,3.4242424242424243,577.6307373046875
All,XGBoost,3.7272727272727275,577.6307373046875
All,XGBoost,4.03030303030303,581.8798828125
All,XGBoost,4.333333333333334,581.8798828125
All,XGBoost,4.636363636363637,581.8798828125
All,XGBoost,4.9393939393939394,581.8798828125
All,XGBoost,5.242424242424242,588.7560424804688
All,XGBoost,5.545454545454546,588.7560424804688
All,XGBoost,5.848484848484849,588.7560424804688
All,XGBoost,6.151515151515151,590.8030395507812
All,XGBoost,6.454545454545455,590.8030395507812
All,XGBoost,6.757575757575758,590.8030395507812
All,XGBoost,7.0606060606060606,593.2025756835938
All,XGBoost,7.363636363636364,593.2025756835938
All,XGBoost,7.666666666666667,593.2025756835938
All,XGBoost,7.96969696969697,593.2025756835938
All,XGBoost,8.272727272727273,591.9249877929688
All,XGBoost,8.575757575757576,591.9249877929688
All,XGBoost,8.878787878787879,591.9249877929688
All,XGBoost,9.181818181818182,592.1298828125
All,XGBoost,9.484848484848484,592.1298828125
All,XGBoost,9.787878787878789,592.1298828125
All,XGBoost,10.090909090909092,594.4130249023438
All,XGBoost,10.393939393939394,594.4130249023438
All,XGBoost,10.696969696969697,594.4130249023438
All,XGBoost,11.0,595.2117919921875
All,XGBoost,11.303030303030303,595.2117919921875
All,XGBoost,11.606060606060606,595.2117919921875
All,XGBoost,11.90909090909091,595.2117919921875
All,XGBoost,12.212121212121213,594.8162231445312
All,XGBoost,12.515151515151516,594.8162231445312
All,XGBoost,12.818181818181818,594.8162231445312
All,XGBoost,13.121212121212121,596.9921264648438
All,XGBoost,13.424242424242424,596.9921264648438
All,XGBoost,13.727272727272728,596.9921264648438
All,XGBoost,14.030303030303031,597.9530639648438
All,XGBoost,14.333333333333334,597.9530639648438
All,XGBoost,14.636363636363637,597.9530639648438
All,XGBoost,14.93939393939394,597.9530639648438
All,XGBoost,15.242424242424242,596.106689453125
All,XGBoost,15.545454545454547,596.106689453125
All,XGBoost,15.84848484848485,596.106689453125
All,XGBoost,16.151515151515152,597.3184814453125
All,XGBoost,16.454545454545453,597.3184814453125
All,XGBoost,16.757575757575758,597.3184814453125
All,XGBoost,17.060606060606062,598.1021728515625
All,XGBoost,17.363636363636363,598.1021728515625
All,XGBoost,17.666666666666668,598.1021728515625
All,XGBoost,17.96969696969697,598.1021728515625
All,XGBoost,18.272727272727273,597.5524291992188
All,XGBoost,18.575757575757578,597.5524291992188
All,XGBoost,18.87878787878788,597.5524291992188
All,XGBoost,19.181818181818183,597.4456176757812
All,XGBoost,19.484848484848484,597.4456176757812
All,XGBoost,19.78787878787879,597.4456176757812
All,XGBoost,20.09090909090909,600.5533447265625
All,XGBoost,20.393939393939394,600.5533447265625
All,XGBoost,20.6969696969697,600.5533447265625
All,XGBoost,21.0,601.3387451171875
All,XGBoost,21.303030303030305,601.3387451171875
All,XGBoost,21.606060606060606,601.3387451171875
All,XGBoost,21.90909090909091,601.3387451171875
All,XGBoost,22.21212121212121,602.311767578125
All,XGBoost,22.515151515151516,602.311767578125
All,XGBoost,22.81818181818182,602.311767578125
All,XGBoost,23.12121212121212,602.5929565429688
All,XGBoost,23.424242424242426,602.5929565429688
All,XGBoost,23.727272727272727,602.5929565429688
All,XGBoost,24.03030303030303,597.1590576171875
All,XGBoost,24.333333333333336,597.1590576171875
