Dataset,Model,Elderly,Predicted Value
All,CatBoost,0.0,563.8694537989713
All,CatBoost,0.6060606060606061,563.5079720668574
All,CatBoost,1.2121212121212122,563.5079720668574
All,CatBoost,1.8181818181818183,563.5079720668574
All,CatBoost,2.4242424242424243,563.5079720668574
All,CatBoost,3.0303030303030303,565.6139186209799
All,CatBoost,3.6363636363636367,566.2475914654453
All,CatBoost,4.242424242424242,566.2475914654453
All,CatBoost,4.848484848484849,570.237878983803
All,CatBoost,5.454545454545455,570.237878983803
All,CatBoost,6.0606060606060606,572.721598221897
All,CatBoost,6.666666666666667,572.721598221897
All,CatBoost,7.272727272727273,572.721598221897
All,CatBoost,7.878787878787879,597.7962126836512
All,CatBoost,8.484848484848484,597.7962126836512
All,CatBoost,9.090909090909092,597.7962126836512
All,CatBoost,9.696969696969697,598.0157386074395
All,CatBoost,10.303030303030303,598.0157386074395
All,CatBoost,10.90909090909091,598.0157386074395
All,CatBoost,11.515151515151516,598.0157386074395
All,CatBoost,12.121212121212121,598.0157386074395
All,CatBoost,12.727272727272728,598.0157386074395
All,CatBoost,13.333333333333334,598.0157386074395
All,CatBoost,13.93939393939394,606.3164188541258
All,CatBoost,14.545454545454547,606.3164188541258
All,CatBoost,15.151515151515152,606.3164188541258
All,CatBoost,15.757575757575758,606.3019164831434
All,CatBoost,16.363636363636363,606.3019164831434
All,CatBoost,16.96969696969697,606.3019164831434
All,CatBoost,17.575757575757578,606.3019164831434
All,CatBoost,18.181818181818183,606.4073572406107
All,CatBoost,18.78787878787879,606.4073572406107
All,CatBoost,19.393939393939394,606.4073572406107
All,CatBoost,20.0,606.4073572406107
All,CatBoost,20.606060606060606,606.4073572406107
All,CatBoost,21.21212121212121,606.4073572406107
All,CatBoost,21.81818181818182,606.4073572406107
All,CatBoost,22.424242424242426,606.4073572406107
All,CatBoost,23.03030303030303,606.0846563736712
All,CatBoost,23.636363636363637,606.0846563736712
All,CatBoost,24.242424242424242,606.0846563736712
