Dataset,Model,Footprint mean,Predicted Value
All,CatBoost,205.878,555.5105128017722
All,CatBoost,391.30728282828284,548.330828617255
All,CatBoost,576.7365656565656,548.1828994211946
All,CatBoost,762.1658484848485,550.1954894055082
All,CatBoost,947.5951313131313,602.6349271288199
All,CatBoost,1133.0244141414141,617.6015860409518
All,CatBoost,1318.453696969697,617.6015860409518
All,CatBoost,1503.8829797979797,617.9070659675621
All,CatBoost,1689.3122626262625,619.0405889371423
All,CatBoost,1874.7415454545453,639.860779862887
All,CatBoost,2060.170828282828,639.860779862887
All,CatBoost,2245.600111111111,639.860779862887
All,CatBoost,2431.029393939394,640.1454720773212
All,CatBoost,2616.458676767677,640.1454720773212
All,CatBoost,2801.8879595959597,640.1465961818213
All,CatBoost,2987.3172424242425,640.9920919799987
All,CatBoost,3172.7465252525253,640.9920919799987
All,CatBoost,3358.175808080808,640.9920919799987
All,CatBoost,3543.605090909091,640.9920919799987
All,CatBoost,3729.0343737373737,642.2109453551138
All,CatBoost,3914.4636565656565,642.2109453551138
All,CatBoost,4099.892939393939,642.2109453551138
All,CatBoost,4285.322222222222,644.4748728955092
All,CatBoost,4470.751505050504,644.4748728955092
All,CatBoost,4656.180787878788,644.4748728955092
All,CatBoost,4841.61007070707,644.4748728955092
All,CatBoost,5027.039353535353,643.7731017991495
All,CatBoost,5212.468636363636,643.7731017991495
All,CatBoost,5397.897919191919,643.7731017991495
All,CatBoost,5583.327202020201,643.7731017991495
All,CatBoost,5768.756484848484,643.7731017991495
All,CatBoost,5954.185767676767,643.7731017991495
All,CatBoost,6139.61505050505,643.3795099613731
All,CatBoost,6325.044333333333,643.3795099613731
All,CatBoost,6510.473616161616,643.3795099613731
All,CatBoost,6695.902898989899,643.3795099613731
All,CatBoost,6881.332181818181,643.3795099613731
All,CatBoost,7066.761464646464,643.3795099613731
All,CatBoost,7252.190747474747,643.3795099613731
All,CatBoost,7437.62003030303,643.3795099613731
All,CatBoost,7623.049313131312,643.3795099613731
All,CatBoost,7808.478595959596,643.3795099613731
All,CatBoost,7993.907878787878,643.3795099613731
All,CatBoost,8179.337161616161,643.3795099613731
All,CatBoost,8364.766444444444,643.3795099613731
All,CatBoost,8550.195727272727,643.3795099613731
All,CatBoost,8735.62501010101,643.3795099613731
All,CatBoost,8921.054292929293,643.3795099613731
All,CatBoost,9106.483575757577,643.3184324140258
All,CatBoost,9291.91285858586,643.3184324140258
All,CatBoost,9477.342141414141,643.3184324140258
All,CatBoost,9662.771424242424,643.3184324140258
All,CatBoost,9848.200707070708,643.3184324140258
All,CatBoost,10033.629989898991,643.3184324140258
All,CatBoost,10219.059272727272,643.3184324140258
All,CatBoost,10404.488555555556,643.3184324140258
All,CatBoost,10589.917838383839,643.3184324140258
All,CatBoost,10775.347121212122,643.3184324140258
All,CatBoost,10960.776404040404,643.3184324140258
All,CatBoost,11146.205686868687,643.3184324140258
All,CatBoost,11331.63496969697,643.3184324140258
All,CatBoost,11517.064252525253,643.3184324140258
All,CatBoost,11702.493535353535,643.3184324140258
All,CatBoost,11887.922818181818,643.3184324140258
All,CatBoost,12073.352101010101,643.3184324140258
All,CatBoost,12258.781383838384,643.3184324140258
All,CatBoost,12444.210666666668,643.3184324140258
All,CatBoost,12629.63994949495,643.3184324140258
All,CatBoost,12815.069232323232,643.3184324140258
All,CatBoost,13000.498515151516,643.3184324140258
All,CatBoost,13185.927797979799,643.3184324140258
All,CatBoost,13371.35708080808,643.3184324140258
All,CatBoost,13556.786363636364,643.3184324140258
All,CatBoost,13742.215646464647,643.3184324140258
All,CatBoost,13927.64492929293,643.3184324140258
All,CatBoost,14113.074212121212,643.3184324140258
All,CatBoost,14298.503494949495,643.3184324140258
All,CatBoost,14483.932777777778,643.3184324140258
All,CatBoost,14669.362060606061,643.3184324140258
All,CatBoost,14854.791343434343,643.3184324140258
All,CatBoost,15040.220626262626,643.7249956114796
All,CatBoost,15225.64990909091,643.7249956114796
All,CatBoost,15411.079191919192,643.7249956114796
All,CatBoost,15596.508474747476,643.7249956114796
All,CatBoost,15781.937757575757,643.7249956114796
All,CatBoost,15967.36704040404,643.7249956114796
All,CatBoost,16152.796323232324,643.7249956114796
All,CatBoost,16338.225606060607,643.7249956114796
All,CatBoost,16523.654888888886,643.7249956114796
All,CatBoost,16709.08417171717,643.7249956114796
All,CatBoost,16894.513454545453,643.7249956114796
All,CatBoost,17079.942737373738,643.7249956114796
All,CatBoost,17265.37202020202,643.7249956114796
All,CatBoost,17450.801303030305,643.7249956114796
All,CatBoost,17636.230585858586,643.7249956114796
All,CatBoost,17821.659868686867,643.7249956114796
All,CatBoost,18007.089151515152,643.7249956114796
All,CatBoost,18192.518434343434,643.7249956114796
All,CatBoost,18377.94771717172,643.7249956114796
All,CatBoost,18563.377,643.7249956114796
Mornings,CatBoost,205.878,681.6837999111798
Mornings,CatBoost,391.30728282828284,683.403471521146
Mornings,CatBoost,576.7365656565656,683.403471521146
Mornings,CatBoost,762.1658484848485,714.330765499829
Mornings,CatBoost,947.5951313131313,734.7225144462925
Mornings,CatBoost,1133.0244141414141,752.5054541901287
Mornings,CatBoost,1318.453696969697,752.4581738776953
Mornings,CatBoost,1503.8829797979797,752.4176507399392
Mornings,CatBoost,1689.3122626262625,752.4176507399392
Mornings,CatBoost,1874.7415454545453,764.0110675410177
Mornings,CatBoost,2060.170828282828,764.0110675410177
Mornings,CatBoost,2245.600111111111,764.0110675410177
Mornings,CatBoost,2431.029393939394,764.0110675410177
Mornings,CatBoost,2616.458676767677,764.0110675410177
Mornings,CatBoost,2801.8879595959597,764.0110675410177
Mornings,CatBoost,2987.3172424242425,767.0218791579736
Mornings,CatBoost,3172.7465252525253,767.0064790650564
Mornings,CatBoost,3358.175808080808,767.0064790650564
Mornings,CatBoost,3543.605090909091,767.0064790650564
Mornings,CatBoost,3729.0343737373737,767.0064790650564
Mornings,CatBoost,3914.4636565656565,767.0064790650564
Mornings,CatBoost,4099.892939393939,767.0064790650564
Mornings,CatBoost,4285.322222222222,766.8836252187817
Mornings,CatBoost,4470.751505050504,766.8836252187817
Mornings,CatBoost,4656.180787878788,766.8836252187817
Mornings,CatBoost,4841.61007070707,766.8836252187817
Mornings,CatBoost,5027.039353535353,765.0463585355421
Mornings,CatBoost,5212.468636363636,765.0463585355421
Mornings,CatBoost,5397.897919191919,765.0463585355421
Mornings,CatBoost,5583.327202020201,765.0463585355421
Mornings,CatBoost,5768.756484848484,765.0463585355421
Mornings,CatBoost,5954.185767676767,765.0463585355421
Mornings,CatBoost,6139.61505050505,760.0281118050435
Mornings,CatBoost,6325.044333333333,760.0281118050435
Mornings,CatBoost,6510.473616161616,760.0281118050435
Mornings,CatBoost,6695.902898989899,760.0281118050435
Mornings,CatBoost,6881.332181818181,760.0281118050435
Mornings,CatBoost,7066.761464646464,760.0281118050435
Mornings,CatBoost,7252.190747474747,760.0281118050435
Mornings,CatBoost,7437.62003030303,760.0281118050435
Mornings,CatBoost,7623.049313131312,760.0281118050435
Mornings,CatBoost,7808.478595959596,760.0281118050435
Mornings,CatBoost,7993.907878787878,760.0281118050435
Mornings,CatBoost,8179.337161616161,760.0281118050435
Mornings,CatBoost,8364.766444444444,760.0281118050435
Mornings,CatBoost,8550.195727272727,760.0281118050435
Mornings,CatBoost,8735.62501010101,760.0281118050435
Mornings,CatBoost,8921.054292929293,760.0281118050435
Mornings,CatBoost,9106.483575757577,760.5112698117633
Mornings,CatBoost,9291.91285858586,760.5112698117633
Mornings,CatBoost,9477.342141414141,760.5112698117633
Mornings,CatBoost,9662.771424242424,760.5112698117633
Mornings,CatBoost,9848.200707070708,760.5112698117633
Mornings,CatBoost,10033.629989898991,760.5112698117633
Mornings,CatBoost,10219.059272727272,760.5112698117633
Mornings,CatBoost,10404.488555555556,760.5112698117633
Mornings,CatBoost,10589.917838383839,760.5112698117633
Mornings,CatBoost,10775.347121212122,760.5112698117633
Mornings,CatBoost,10960.776404040404,760.5112698117633
Mornings,CatBoost,11146.205686868687,760.5112698117633
Mornings,CatBoost,11331.63496969697,760.5112698117633
Mornings,CatBoost,11517.064252525253,760.5112698117633
Mornings,CatBoost,11702.493535353535,760.5112698117633
Mornings,CatBoost,11887.922818181818,760.5112698117633
Mornings,CatBoost,12073.352101010101,760.5112698117633
Mornings,CatBoost,12258.781383838384,760.5112698117633
