Dataset,Model,Longitude,Predicted Value
All,CatBoost,144.93970694,575.4209450536799
All,CatBoost,144.94004561646466,575.4209450536799
All,CatBoost,144.9403842929293,575.4209450536799
All,CatBoost,144.94072296939396,575.4209450536799
All,CatBoost,144.94106164585858,575.4209450536799
All,CatBoost,144.94140032232323,575.4209450536799
All,CatBoost,144.94173899878788,575.4209450536799
All,CatBoost,144.94207767525253,575.4209450536799
All,CatBoost,144.94241635171718,575.4209450536799
All,CatBoost,144.94275502818184,575.4209450536799
All,CatBoost,144.94309370464646,575.4209450536799
All,CatBoost,144.9434323811111,575.4209450536799
All,CatBoost,144.94377105757576,575.4209450536799
All,CatBoost,144.9441097340404,575.4209450536799
All,CatBoost,144.94444841050506,575.4209450536799
All,CatBoost,144.9447870869697,575.4209450536799
All,CatBoost,144.94512576343436,575.4215395012493
All,CatBoost,144.94546443989898,575.4215395012493
All,CatBoost,144.94580311636363,575.4215395012493
All,CatBoost,144.94614179282829,575.4215395012493
All,CatBoost,144.94648046929294,575.4215395012493
All,CatBoost,144.9468191457576,575.4215395012493
All,CatBoost,144.94715782222224,576.3139391436999
All,CatBoost,144.9474964986869,576.3139391436999
All,CatBoost,144.9478351751515,576.3139391436999
All,CatBoost,144.94817385161616,576.3139391436999
All,CatBoost,144.9485125280808,576.3139391436999
All,CatBoost,144.94885120454546,576.3139391436999
All,CatBoost,144.9491898810101,576.3139391436999
All,CatBoost,144.94952855747476,576.3139391436999
All,CatBoost,144.9498672339394,576.3139391436999
All,CatBoost,144.95020591040404,576.3139391436999
All,CatBoost,144.9505445868687,576.3139391436999
All,CatBoost,144.95088326333334,576.3139391436999
All,CatBoost,144.951221939798,576.3139391436999
All,CatBoost,144.95156061626264,576.3139391436999
All,CatBoost,144.9518992927273,576.3139391436999
All,CatBoost,144.9522379691919,576.3139391436999
All,CatBoost,144.95257664565656,576.3139391436999
All,CatBoost,144.9529153221212,576.3139391436999
All,CatBoost,144.95325399858586,576.3139391436999
All,CatBoost,144.95359267505052,576.3139391436999
All,CatBoost,144.95393135151517,576.3139391436999
All,CatBoost,144.9542700279798,576.3139391436999
All,CatBoost,144.95460870444444,573.5077565778058
All,CatBoost,144.9549473809091,573.5077565778058
All,CatBoost,144.95528605737374,573.5077565778058
All,CatBoost,144.9556247338384,573.5077565778058
All,CatBoost,144.95596341030304,573.5077565778058
All,CatBoost,144.9563020867677,573.5077565778058
All,CatBoost,144.95664076323231,573.5077565778058
All,CatBoost,144.95697943969697,573.5077565778058
All,CatBoost,144.95731811616162,573.5077565778058
All,CatBoost,144.95765679262627,573.5077565778058
All,CatBoost,144.95799546909092,573.5077565778058
All,CatBoost,144.95833414555557,573.5077565778058
All,CatBoost,144.95867282202022,573.5077565778058
All,CatBoost,144.95901149848484,573.5077565778058
All,CatBoost,144.9593501749495,573.5077565778058
All,CatBoost,144.95968885141414,573.5077565778058
All,CatBoost,144.9600275278788,573.5077565778058
All,CatBoost,144.96036620434344,573.5077565778058
All,CatBoost,144.9607048808081,573.5077565778058
All,CatBoost,144.96104355727272,573.5077565778058
All,CatBoost,144.96138223373737,573.534187224923
All,CatBoost,144.96172091020202,573.5300780067273
All,CatBoost,144.96205958666667,573.559780617116
All,CatBoost,144.96239826313132,573.559780617116
All,CatBoost,144.96273693959597,573.559780617116
All,CatBoost,144.96307561606062,573.8532035030247
All,CatBoost,144.96341429252524,573.8532035030247
All,CatBoost,144.9637529689899,573.8532035030247
All,CatBoost,144.96409164545454,581.8777577028269
All,CatBoost,144.9644303219192,611.243999992474
All,CatBoost,144.96476899838385,611.243999992474
All,CatBoost,144.9651076748485,611.243999992474
All,CatBoost,144.96544635131312,611.0612068969385
All,CatBoost,144.96578502777777,612.1739497652799
All,CatBoost,144.96612370424242,612.1739497652799
All,CatBoost,144.96646238070707,613.4876164607787
All,CatBoost,144.96680105717172,613.4876164607787
All,CatBoost,144.96713973363637,613.4876164607787
All,CatBoost,144.96747841010102,613.4876164607787
All,CatBoost,144.96781708656565,613.4876164607787
All,CatBoost,144.9681557630303,613.4565172721885
All,CatBoost,144.96849443949495,613.4565172721885
All,CatBoost,144.9688331159596,612.757997375476
All,CatBoost,144.96917179242425,612.757997375476
All,CatBoost,144.9695104688889,612.5109874102975
All,CatBoost,144.96984914535355,612.5109874102975
All,CatBoost,144.97018782181817,612.5109874102975
All,CatBoost,144.97052649828282,612.5109874102975
All,CatBoost,144.97086517474747,612.5109874102975
All,CatBoost,144.97120385121212,612.5109874102975
All,CatBoost,144.97154252767677,612.5109874102975
All,CatBoost,144.97188120414143,612.5109874102975
All,CatBoost,144.97221988060605,612.5109874102975
All,CatBoost,144.9725585570707,612.5109874102975
All,CatBoost,144.97289723353535,612.262785912885
All,CatBoost,144.97323591,637.7767850436595
Mornings,CatBoost,144.93970694,712.2461359274809
Mornings,CatBoost,144.94004561646466,712.2461359274809
Mornings,CatBoost,144.9403842929293,712.2461359274809
Mornings,CatBoost,144.94072296939396,712.2461359274809
Mornings,CatBoost,144.94106164585858,712.2461359274809
Mornings,CatBoost,144.94140032232323,712.2461359274809
Mornings,CatBoost,144.94173899878788,712.2461359274809
Mornings,CatBoost,144.94207767525253,712.2461359274809
Mornings,CatBoost,144.94241635171718,712.2461359274809
Mornings,CatBoost,144.94275502818184,712.2461359274809
Mornings,CatBoost,144.94309370464646,712.2461359274809
Mornings,CatBoost,144.9434323811111,712.2461359274809
