Dataset,Model,Month,Predicted Value
All,CatBoost,1.0,563.5112039652845
All,CatBoost,1.1111111111111112,563.5112039652845
All,CatBoost,1.2222222222222223,563.5112039652845
All,CatBoost,1.3333333333333333,563.5112039652845
All,CatBoost,1.4444444444444444,563.5112039652845
All,CatBoost,1.5555555555555556,610.5827311538936
All,CatBoost,1.6666666666666665,610.5827311538936
All,CatBoost,1.7777777777777777,610.5827311538936
All,CatBoost,1.8888888888888888,610.5827311538936
All,CatBoost,2.0,610.5827311538936
All,CatBoost,2.111111111111111,610.5827311538936
All,CatBoost,2.2222222222222223,610.5827311538936
All,CatBoost,2.333333333333333,610.5827311538936
All,CatBoost,2.4444444444444446,610.5827311538936
All,CatBoost,2.5555555555555554,627.5444976728273
All,CatBoost,2.6666666666666665,627.5444976728273
All,CatBoost,2.7777777777777777,627.5444976728273
All,CatBoost,2.888888888888889,627.5444976728273
All,CatBoost,3.0,627.5444976728273
All,CatBoost,3.111111111111111,627.5444976728273
All,CatBoost,3.2222222222222223,627.5444976728273
All,CatBoost,3.333333333333333,627.5444976728273
All,CatBoost,3.444444444444444,627.5444976728273
All,CatBoost,3.5555555555555554,619.8392781953625
All,CatBoost,3.6666666666666665,619.8392781953625
All,CatBoost,3.7777777777777777,619.8392781953625
All,CatBoost,3.888888888888889,619.8392781953625
All,CatBoost,4.0,619.8392781953625
All,CatBoost,4.111111111111111,619.8392781953625
All,CatBoost,4.222222222222221,619.8392781953625
All,CatBoost,4.333333333333333,619.8392781953625
All,CatBoost,4.444444444444445,619.8392781953625
All,CatBoost,4.555555555555555,571.9392947501261
All,CatBoost,4.666666666666666,571.9392947501261
All,CatBoost,4.777777777777778,571.9392947501261
All,CatBoost,4.888888888888889,571.9392947501261
All,CatBoost,5.0,571.9392947501261
All,CatBoost,5.111111111111111,571.9392947501261
All,CatBoost,5.222222222222222,571.9392947501261
All,CatBoost,5.333333333333333,571.9392947501261
All,CatBoost,5.444444444444445,571.9392947501261
All,CatBoost,5.555555555555555,566.7394579749489
All,CatBoost,5.666666666666666,566.7394579749489
All,CatBoost,5.777777777777778,566.7394579749489
All,CatBoost,5.888888888888888,566.7394579749489
All,CatBoost,6.0,566.7394579749489
All,CatBoost,6.111111111111111,566.7394579749489
All,CatBoost,6.222222222222222,566.7394579749489
All,CatBoost,6.333333333333333,566.7394579749489
All,CatBoost,6.444444444444444,566.7394579749489
All,CatBoost,6.555555555555555,585.9958866592209
All,CatBoost,6.666666666666666,585.9958866592209
All,CatBoost,6.777777777777778,585.9958866592209
All,CatBoost,6.888888888888888,585.9958866592209
All,CatBoost,7.0,585.9958866592209
All,CatBoost,7.111111111111111,585.9958866592209
All,CatBoost,7.222222222222221,585.9958866592209
All,CatBoost,7.333333333333333,585.9958866592209
All,CatBoost,7.444444444444444,585.9958866592209
All,CatBoost,7.555555555555555,586.4538161005505
All,CatBoost,7.666666666666666,586.4538161005505
All,CatBoost,7.777777777777778,586.4538161005505
All,CatBoost,7.888888888888888,586.4538161005505
All,CatBoost,8.0,586.4538161005505
All,CatBoost,8.11111111111111,586.4538161005505
All,CatBoost,8.222222222222221,586.4538161005505
All,CatBoost,8.333333333333332,586.4538161005505
All,CatBoost,8.444444444444443,586.4538161005505
All,CatBoost,8.555555555555555,585.7387134116858
All,CatBoost,8.666666666666666,585.7387134116858
All,CatBoost,8.777777777777779,585.7387134116858
All,CatBoost,8.88888888888889,585.7387134116858
All,CatBoost,9.0,585.7387134116858
All,CatBoost,9.11111111111111,585.7387134116858
All,CatBoost,9.222222222222221,585.7387134116858
All,CatBoost,9.333333333333332,585.7387134116858
All,CatBoost,9.444444444444445,585.7387134116858
All,CatBoost,9.555555555555555,592.3898446243974
All,CatBoost,9.666666666666666,592.3898446243974
All,CatBoost,9.777777777777777,592.3898446243974
All,CatBoost,9.88888888888889,592.3898446243974
All,CatBoost,10.0,592.3898446243974
All,CatBoost,10.11111111111111,592.3898446243974
All,CatBoost,10.222222222222221,592.3898446243974
All,CatBoost,10.333333333333332,592.3898446243974
All,CatBoost,10.444444444444445,592.3898446243974
All,CatBoost,10.555555555555555,601.7965495981776
All,CatBoost,10.666666666666666,601.7965495981776
All,CatBoost,10.777777777777777,601.7965495981776
All,CatBoost,10.888888888888888,601.7965495981776
All,CatBoost,11.0,601.7965495981776
All,CatBoost,11.11111111111111,601.7965495981776
All,CatBoost,11.222222222222221,601.7965495981776
All,CatBoost,11.333333333333332,601.7965495981776
All,CatBoost,11.444444444444445,601.7965495981776
All,CatBoost,11.555555555555555,634.8025323746547
All,CatBoost,11.666666666666666,634.8025323746547
All,CatBoost,11.777777777777777,634.8025323746547
All,CatBoost,11.888888888888888,634.8025323746547
All,CatBoost,12.0,634.8025323746547
All,LightGBM,1.0,563.6218790734932
All,LightGBM,1.1111111111111112,563.6218790734932
All,LightGBM,1.2222222222222223,563.6218790734932
All,LightGBM,1.3333333333333333,563.6218790734932
All,LightGBM,1.4444444444444444,563.6218790734932
All,LightGBM,1.5555555555555556,609.3219962638207
All,LightGBM,1.6666666666666665,609.3219962638207
All,LightGBM,1.7777777777777777,609.3219962638207
All,LightGBM,1.8888888888888888,609.3219962638207
All,LightGBM,2.0,609.3219962638207
All,LightGBM,2.111111111111111,609.3219962638207
All,LightGBM,2.2222222222222223,609.3219962638207
All,LightGBM,2.333333333333333,609.3219962638207
All,LightGBM,2.4444444444444446,609.3219962638207
All,LightGBM,2.5555555555555554,627.5235351701152
All,LightGBM,2.6666666666666665,627.5235351701152
All,LightGBM,2.7777777777777777,627.5235351701152
All,LightGBM,2.888888888888889,627.5235351701152
All,LightGBM,3.0,627.5235351701152
All,LightGBM,3.111111111111111,627.5235351701152
All,LightGBM,3.2222222222222223,627.5235351701152
All,LightGBM,3.333333333333333,627.5235351701152
All,LightGBM,3.444444444444444,627.5235351701152
All,LightGBM,3.5555555555555554,622.6749775361292
All,LightGBM,3.6666666666666665,622.6749775361292
All,LightGBM,3.7777777777777777,622.6749775361292
All,LightGBM,3.888888888888889,622.6749775361292
All,LightGBM,4.0,622.6749775361292
All,LightGBM,4.111111111111111,622.6749775361292
All,LightGBM,4.222222222222221,622.6749775361292
All,LightGBM,4.333333333333333,622.6749775361292
All,LightGBM,4.444444444444445,622.6749775361292
All,LightGBM,4.555555555555555,569.1435646062766
All,LightGBM,4.666666666666666,569.1435646062766
All,LightGBM,4.777777777777778,569.1435646062766
All,LightGBM,4.888888888888889,569.1435646062766
All,LightGBM,5.0,569.1435646062766
All,LightGBM,5.111111111111111,569.1435646062766
All,LightGBM,5.222222222222222,569.1435646062766
All,LightGBM,5.333333333333333,569.1435646062766
All,LightGBM,5.444444444444445,569.1435646062766
All,LightGBM,5.555555555555555,565.0013473006376
All,LightGBM,5.666666666666666,565.0013473006376
All,LightGBM,5.777777777777778,565.0013473006376
All,LightGBM,5.888888888888888,565.0013473006376
All,LightGBM,6.0,565.0013473006376
All,LightGBM,6.111111111111111,565.0013473006376
All,LightGBM,6.222222222222222,565.0013473006376
All,LightGBM,6.333333333333333,565.0013473006376
All,LightGBM,6.444444444444444,565.0013473006376
All,LightGBM,6.555555555555555,579.0303100213494
All,LightGBM,6.666666666666666,579.0303100213494
All,LightGBM,6.777777777777778,579.0303100213494
All,LightGBM,6.888888888888888,579.0303100213494
All,LightGBM,7.0,579.0303100213494
All,LightGBM,7.111111111111111,579.0303100213494
All,LightGBM,7.222222222222221,579.0303100213494
All,LightGBM,7.333333333333333,579.0303100213494
All,LightGBM,7.444444444444444,579.0303100213494
All,LightGBM,7.555555555555555,579.5041747883693
All,LightGBM,7.666666666666666,579.5041747883693
All,LightGBM,7.777777777777778,579.5041747883693
All,LightGBM,7.888888888888888,579.5041747883693
All,LightGBM,8.0,579.5041747883693
All,LightGBM,8.11111111111111,579.5041747883693
All,LightGBM,8.222222222222221,579.5041747883693
All,LightGBM,8.333333333333332,579.5041747883693
All,LightGBM,8.444444444444443,579.5041747883693
All,LightGBM,8.555555555555555,579.3010070991568
All,LightGBM,8.666666666666666,579.3010070991568
All,LightGBM,8.777777777777779,579.3010070991568
All,LightGBM,8.88888888888889,579.3010070991568
All,LightGBM,9.0,579.3010070991568
All,LightGBM,9.11111111111111,579.3010070991568
All,LightGBM,9.222222222222221,579.3010070991568
All,LightGBM,9.333333333333332,579.3010070991568
All,LightGBM,9.444444444444445,579.3010070991568
All,LightGBM,9.555555555555555,587.8976300768048
All,LightGBM,9.666666666666666,587.8976300768048
All,LightGBM,9.777777777777777,587.8976300768048
All,LightGBM,9.88888888888889,587.8976300768048
All,LightGBM,10.0,587.8976300768048
All,LightGBM,10.11111111111111,587.8976300768048
All,LightGBM,10.222222222222221,587.8976300768048
All,LightGBM,10.333333333333332,587.8976300768048
All,LightGBM,10.444444444444445,587.8976300768048
All,LightGBM,10.555555555555555,600.2045267510066
All,LightGBM,10.666666666666666,600.2045267510066
All,LightGBM,10.777777777777777,600.2045267510066
All,LightGBM,10.888888888888888,600.2045267510066
All,LightGBM,11.0,600.2045267510066
All,LightGBM,11.11111111111111,600.2045267510066
All,LightGBM,11.222222222222221,600.2045267510066
All,LightGBM,11.333333333333332,600.2045267510066
All,LightGBM,11.444444444444445,600.2045267510066
All,LightGBM,11.555555555555555,630.2011522392895
All,LightGBM,11.666666666666666,630.2011522392895
All,LightGBM,11.777777777777777,630.2011522392895
All,LightGBM,11.888888888888888,630.2011522392895
All,LightGBM,12.0,630.2011522392895
All,XGBoost,1.0,579.7801513671875
All,XGBoost,1.1111111111111112,579.7801513671875
All,XGBoost,1.2222222222222223,579.7801513671875
All,XGBoost,1.3333333333333333,579.7801513671875
All,XGBoost,1.4444444444444444,579.7801513671875
All,XGBoost,1.5555555555555556,579.7801513671875
All,XGBoost,1.6666666666666665,579.7801513671875
All,XGBoost,1.7777777777777777,579.7801513671875
All,XGBoost,1.8888888888888888,579.7801513671875
All,XGBoost,2.0,619.3031005859375
All,XGBoost,2.111111111111111,619.3031005859375
All,XGBoost,2.2222222222222223,619.3031005859375
