Dataset,Model,Population total,Predicted Value
Mornings Special,CatBoost,6.0,313.9763153542873
Mornings Special,CatBoost,13.464646464646464,314.3351588624022
Mornings Special,CatBoost,20.929292929292927,314.3351588624022
Mornings Special,CatBoost,28.393939393939394,314.3351588624022
Mornings Special,CatBoost,35.858585858585855,313.7352610567485
Mornings Special,CatBoost,43.323232323232325,313.7352610567485
Mornings Special,CatBoost,50.78787878787879,313.7352610567485
Mornings Special,CatBoost,58.25252525252525,313.7352610567485
Mornings Special,CatBoost,65.71717171717171,313.4341440199491
Mornings Special,CatBoost,73.18181818181819,310.9346355674547
Mornings Special,CatBoost,80.64646464646465,310.5751973731954
Mornings Special,CatBoost,88.11111111111111,310.5751973731954
Mornings Special,CatBoost,95.57575757575758,310.5751973731954
Mornings Special,CatBoost,103.04040404040404,308.4749900831432
Mornings Special,CatBoost,110.5050505050505,288.8613134603702
Mornings Special,CatBoost,117.96969696969697,288.55945336089707
Mornings Special,CatBoost,125.43434343434343,288.55945336089707
Mornings Special,CatBoost,132.8989898989899,288.1059422983141
Mornings Special,CatBoost,140.36363636363637,288.1059422983141
Mornings Special,CatBoost,147.82828282828282,288.1059422983141
Mornings Special,CatBoost,155.2929292929293,288.1059422983141
Mornings Special,CatBoost,162.75757575757575,288.1059422983141
Mornings Special,CatBoost,170.22222222222223,288.1059422983141
Mornings Special,CatBoost,177.68686868686868,288.1059422983141
Mornings Special,CatBoost,185.15151515151516,288.1059422983141
Mornings Special,CatBoost,192.6161616161616,288.1059422983141
Mornings Special,CatBoost,200.08080808080808,288.1059422983141
Mornings Special,CatBoost,207.54545454545453,288.1059422983141
Mornings Special,CatBoost,215.010101010101,288.84035436893123
Mornings Special,CatBoost,222.47474747474746,290.30614982886976
Mornings Special,CatBoost,229.93939393939394,291.0144300420782
Mornings Special,CatBoost,237.4040404040404,291.0144300420782
Mornings Special,CatBoost,244.86868686868686,294.33517472474307
Mornings Special,CatBoost,252.33333333333334,294.33517472474307
Mornings Special,CatBoost,259.7979797979798,295.2496370417877
Mornings Special,CatBoost,267.26262626262627,295.2496370417877
Mornings Special,CatBoost,274.72727272727275,295.2496370417877
Mornings Special,CatBoost,282.19191919191917,295.3482786124508
Mornings Special,CatBoost,289.65656565656565,295.3482786124508
Mornings Special,CatBoost,297.1212121212121,295.3482786124508
Mornings Special,CatBoost,304.5858585858586,307.256398350588
Mornings Special,CatBoost,312.050505050505,307.256398350588
Mornings Special,CatBoost,319.5151515151515,314.11474703371533
Mornings Special,CatBoost,326.979797979798,314.11474703371533
Mornings Special,CatBoost,334.44444444444446,314.11474703371533
Mornings Special,CatBoost,341.9090909090909,314.11474703371533
Mornings Special,CatBoost,349.37373737373736,314.11474703371533
Mornings Special,CatBoost,356.83838383838383,314.0668518959155
