Dataset,Model,Temperature,Predicted Value
All,CatBoost,0.7,629.5213383822258
All,CatBoost,1.103030303030303,629.5213383822258
All,CatBoost,1.5060606060606059,629.5213383822258
All,CatBoost,1.909090909090909,629.5213383822258
All,CatBoost,2.312121212121212,629.5213383822258
All,CatBoost,2.715151515151515,629.5213383822258
All,CatBoost,3.118181818181818,609.9825483489274
All,CatBoost,3.5212121212121215,605.6084314328752
All,CatBoost,3.924242424242424,609.6543189987574
All,CatBoost,4.327272727272727,615.8232504272682
All,CatBoost,4.7303030303030305,611.4867457546364
All,CatBoost,5.133333333333334,599.9812085030019
All,CatBoost,5.536363636363636,599.3744763909931
All,CatBoost,5.9393939393939394,588.8320904983356
All,CatBoost,6.342424242424243,597.0669835756859
All,CatBoost,6.745454545454545,584.3500884240927
All,CatBoost,7.148484848484848,571.460659942611
All,CatBoost,7.551515151515152,571.460659942611
All,CatBoost,7.954545454545454,572.9253024990702
All,CatBoost,8.357575757575757,572.9253024990702
All,CatBoost,8.76060606060606,590.1069325905765
All,CatBoost,9.163636363636362,591.7191680251518
All,CatBoost,9.566666666666666,587.1518556384134
All,CatBoost,9.969696969696969,585.0817241820687
All,CatBoost,10.372727272727271,585.1070181117904
All,CatBoost,10.775757575757575,592.4223342422679
All,CatBoost,11.178787878787878,589.8036884555448
All,CatBoost,11.58181818181818,591.4361740343988
All,CatBoost,11.984848484848484,595.7993113090464
All,CatBoost,12.387878787878787,597.7076912769319
All,CatBoost,12.79090909090909,597.993927137609
All,CatBoost,13.193939393939393,598.6183516055521
All,CatBoost,13.596969696969696,601.1561397187653
All,CatBoost,13.999999999999998,602.4493471728496
All,CatBoost,14.403030303030302,604.0537797318689
All,CatBoost,14.806060606060605,604.0899792983337
All,CatBoost,15.209090909090907,604.5012537951858
All,CatBoost,15.612121212121211,604.2089843041845
All,CatBoost,16.015151515151516,604.2110885635127
All,CatBoost,16.418181818181818,604.0416738184063
All,CatBoost,16.82121212121212,604.4636188625255
All,CatBoost,17.224242424242423,604.5845024094195
