Dataset,Model,Total precipitation,Predicted Value
Lunches,CatBoost,0.0,1133.9267924520263
Lunches,CatBoost,0.02746717171717172,1091.473656827674
Lunches,CatBoost,0.05493434343434344,1079.733483932849
Lunches,CatBoost,0.08240151515151516,1079.6466275217927
Lunches,CatBoost,0.10986868686868688,1080.3469019734343
Lunches,CatBoost,0.1373358585858586,1078.9011912240853
Lunches,CatBoost,0.1648030303030303,1077.2145256184704
Lunches,CatBoost,0.19227020202020204,1086.37789346441
Lunches,CatBoost,0.21973737373737376,1077.2494975867867
Lunches,CatBoost,0.24720454545454548,1084.8175877281572
Lunches,CatBoost,0.2746717171717172,1077.3132873124443
Lunches,CatBoost,0.3021388888888889,1082.0309009498935
Lunches,CatBoost,0.3296060606060606,1081.8443969751052
Lunches,CatBoost,0.35707323232323235,1078.6104317330382
Lunches,CatBoost,0.38454040404040407,1078.6104317330382
Lunches,CatBoost,0.4120075757575758,1077.9879222293732
Lunches,CatBoost,0.4394747474747475,1075.413183424636
Lunches,CatBoost,0.46694191919191924,1070.3469044377011
Lunches,CatBoost,0.49440909090909096,1070.3469044377011
Lunches,CatBoost,0.5218762626262626,1067.0532155185767
Lunches,CatBoost,0.5493434343434344,1066.255396345821
Lunches,CatBoost,0.5768106060606061,1066.255396345821
Lunches,CatBoost,0.6042777777777778,1067.5104795159302
Lunches,CatBoost,0.6317449494949495,1066.840707938934
Lunches,CatBoost,0.6592121212121212,1066.840707938934
Lunches,CatBoost,0.686679292929293,1066.1288252798076
Lunches,CatBoost,0.7141464646464647,1058.468156634534
Lunches,CatBoost,0.7416136363636364,1072.412838312525
Lunches,CatBoost,0.7690808080808081,1081.932478889654
Lunches,CatBoost,0.7965479797979799,1081.932478889654
Lunches,CatBoost,0.8240151515151516,1081.932478889654
Lunches,CatBoost,0.8514823232323233,1081.932478889654
Lunches,CatBoost,0.878949494949495,1081.932478889654
Lunches,CatBoost,0.9064166666666668,1081.932478889654
Lunches,CatBoost,0.9338838383838385,1081.932478889654
Lunches,CatBoost,0.9613510101010102,1081.932478889654
Lunches,CatBoost,0.9888181818181819,1081.932478889654
Lunches,CatBoost,1.0162853535353535,1077.5376343571443
Lunches,CatBoost,1.0437525252525253,1077.5376343571443
Lunches,CatBoost,1.071219696969697,1077.5376343571443
Lunches,CatBoost,1.0986868686868687,1077.5376343571443
Lunches,CatBoost,1.1261540404040404,1077.5376343571443
