Dataset,Model,Visual complexity mean,Predicted Value
All,CatBoost,1.54099734303256,579.8338186676643
All,CatBoost,1.5469140865954338,579.8338186676643
All,CatBoost,1.5528308301583078,580.0396585889501
All,CatBoost,1.5587475737211816,580.0396585889501
All,CatBoost,1.5646643172840555,580.0396585889501
All,CatBoost,1.5705810608469293,580.0396585889501
All,CatBoost,1.576497804409803,580.0396585889501
All,CatBoost,1.582414547972677,580.7466583031896
All,CatBoost,1.5883312915355507,580.7466583031896
All,CatBoost,1.5942480350984247,580.7466583031896
All,CatBoost,1.6001647786612985,580.7466583031896
All,CatBoost,1.6060815222241722,580.7466583031896
All,CatBoost,1.6119982657870462,580.7466583031896
All,CatBoost,1.61791500934992,580.7466583031896
All,CatBoost,1.623831752912794,580.7466583031896
All,CatBoost,1.6297484964756677,580.7466583031896
All,CatBoost,1.6356652400385414,582.3438705968032
All,CatBoost,1.6415819836014154,582.3438705968032
All,CatBoost,1.6474987271642891,582.3438705968032
All,CatBoost,1.6534154707271629,582.3438705968032
All,CatBoost,1.6593322142900369,582.3438705968032
All,CatBoost,1.6652489578529106,582.3438705968032
All,CatBoost,1.6711657014157846,582.3438705968032
All,CatBoost,1.6770824449786583,582.3438705968032
All,CatBoost,1.6829991885415323,582.3438705968032
All,CatBoost,1.688915932104406,582.3438705968032
All,CatBoost,1.6948326756672798,582.3438705968032
All,CatBoost,1.7007494192301538,575.4361037181684
All,CatBoost,1.7066661627930275,575.4361037181684
All,CatBoost,1.7125829063559013,575.3802265691271
All,CatBoost,1.7184996499187752,575.3802265691271
All,CatBoost,1.724416393481649,575.3602933958599
All,CatBoost,1.730333137044523,575.3602933958599
All,CatBoost,1.7362498806073967,575.3602933958599
All,CatBoost,1.7421666241702705,575.3602933958599
All,CatBoost,1.7480833677331444,575.2019567579255
All,CatBoost,1.7540001112960182,575.2019567579255
All,CatBoost,1.7599168548588922,575.2019567579255
All,CatBoost,1.765833598421766,575.2233082005114
All,CatBoost,1.7717503419846397,575.2233082005114
All,CatBoost,1.7776670855475136,575.2233082005114
All,CatBoost,1.7835838291103874,575.2233082005114
All,CatBoost,1.7895005726732613,575.5702107259384
All,CatBoost,1.795417316236135,575.6041224146023
All,CatBoost,1.8013340597990088,575.6130766321821
All,CatBoost,1.8072508033618828,575.6130766321821
All,CatBoost,1.8131675469247566,575.8271165058857
All,CatBoost,1.8190842904876305,577.0620436879235
All,CatBoost,1.8250010340505043,605.5022933221725
All,CatBoost,1.830917777613378,623.7715149882764
All,CatBoost,1.836834521176252,623.7715149882764
All,CatBoost,1.8427512647391258,623.7715149882764
All,CatBoost,1.8486680083019995,626.5104509834466
All,CatBoost,1.8545847518648735,622.4244569128164
All,CatBoost,1.8605014954277472,622.4244569128164
All,CatBoost,1.8664182389906212,622.6856621038372
All,CatBoost,1.872334982553495,622.6856621038372
All,CatBoost,1.878251726116369,622.6856621038372
All,CatBoost,1.8841684696792427,622.6856621038372
All,CatBoost,1.8900852132421164,622.6856621038372
All,CatBoost,1.8960019568049904,622.6856621038372
All,CatBoost,1.9019187003678641,622.6856621038372
All,CatBoost,1.907835443930738,622.6856621038372
All,CatBoost,1.9137521874936119,617.0723365865115
All,CatBoost,1.9196689310564856,615.8479465234968
All,CatBoost,1.9255856746193596,615.8479465234968
All,CatBoost,1.9315024181822333,615.8479465234968
All,CatBoost,1.9374191617451073,616.0968844599234
All,CatBoost,1.943335905307981,616.0968844599234
All,CatBoost,1.9492526488708548,615.2667465519507
All,CatBoost,1.9551693924337288,615.2667465519507
All,CatBoost,1.9610861359966025,615.2667465519507
All,CatBoost,1.9670028795594763,615.2667465519507
All,CatBoost,1.9729196231223503,615.2667465519507
All,CatBoost,1.978836366685224,615.8770533624304
All,CatBoost,1.9847531102480978,615.8770533624304
All,CatBoost,1.9906698538109717,615.8770533624304
All,CatBoost,1.9965865973738457,615.8770533624304
All,CatBoost,2.0025033409367192,615.8770533624304
All,CatBoost,2.008420084499593,615.8770533624304
All,CatBoost,2.014336828062467,615.8770533624304
All,CatBoost,2.020253571625341,619.3001059954906
All,CatBoost,2.0261703151882147,619.3001059954906
All,CatBoost,2.0320870587510886,619.3001059954906
All,CatBoost,2.0380038023139626,619.3001059954906
All,CatBoost,2.043920545876836,619.3001059954906
All,CatBoost,2.04983728943971,619.3001059954906
All,CatBoost,2.055754033002584,619.3001059954906
All,CatBoost,2.0616707765654576,619.3001059954906
All,CatBoost,2.0675875201283316,619.3001059954906
All,CatBoost,2.0735042636912056,619.3001059954906
All,CatBoost,2.079421007254079,619.3001059954906
All,CatBoost,2.085337750816953,619.3001059954906
All,CatBoost,2.091254494379827,619.3001059954906
All,CatBoost,2.0971712379427006,619.3001059954906
All,CatBoost,2.1030879815055745,619.3001059954906
All,CatBoost,2.1090047250684485,619.3001059954906
All,CatBoost,2.1149214686313225,619.3001059954906
All,CatBoost,2.120838212194196,619.3001059954906
All,CatBoost,2.12675495575707,619.3001059954906
All,LightGBM,1.54099734303256,574.9023795666423
All,LightGBM,1.5469140865954338,574.9023795666423
All,LightGBM,1.5528308301583078,579.2653292787811
All,LightGBM,1.5587475737211816,579.2653292787811
All,LightGBM,1.5646643172840555,579.2653292787811
All,LightGBM,1.5705810608469293,579.2653292787811
