Dataset,Model,Year,Predicted Value
All,CatBoost,2009.0,539.586374079682
All,CatBoost,2009.1010101010102,539.586374079682
All,CatBoost,2009.20202020202,539.586374079682
All,CatBoost,2009.3030303030303,539.586374079682
All,CatBoost,2009.4040404040404,539.586374079682
All,CatBoost,2009.5050505050506,524.196111239536
All,CatBoost,2009.6060606060605,524.196111239536
All,CatBoost,2009.7070707070707,524.196111239536
All,CatBoost,2009.8080808080808,524.196111239536
All,CatBoost,2009.909090909091,524.196111239536
All,CatBoost,2010.010101010101,524.196111239536
All,CatBoost,2010.111111111111,524.196111239536
All,CatBoost,2010.2121212121212,524.196111239536
All,CatBoost,2010.3131313131314,524.196111239536
All,CatBoost,2010.4141414141413,524.196111239536
All,CatBoost,2010.5151515151515,572.4393929312248
All,CatBoost,2010.6161616161617,572.4393929312248
All,CatBoost,2010.7171717171718,572.4393929312248
All,CatBoost,2010.8181818181818,572.4393929312248
All,CatBoost,2010.919191919192,572.4393929312248
All,CatBoost,2011.020202020202,572.4393929312248
All,CatBoost,2011.121212121212,572.4393929312248
All,CatBoost,2011.2222222222222,572.4393929312248
All,CatBoost,2011.3232323232323,572.4393929312248
All,CatBoost,2011.4242424242425,572.4393929312248
All,CatBoost,2011.5252525252524,575.4374696967959
All,CatBoost,2011.6262626262626,575.4374696967959
All,CatBoost,2011.7272727272727,575.4374696967959
All,CatBoost,2011.828282828283,575.4374696967959
All,CatBoost,2011.9292929292928,575.4374696967959
All,CatBoost,2012.030303030303,575.4374696967959
All,CatBoost,2012.1313131313132,575.4374696967959
All,CatBoost,2012.2323232323233,575.4374696967959
All,CatBoost,2012.3333333333333,575.4374696967959
All,CatBoost,2012.4343434343434,575.4374696967959
All,CatBoost,2012.5353535353536,578.5653573370139
All,CatBoost,2012.6363636363637,578.5653573370139
All,CatBoost,2012.7373737373737,578.5653573370139
All,CatBoost,2012.8383838383838,578.5653573370139
All,CatBoost,2012.939393939394,578.5653573370139
All,CatBoost,2013.040404040404,578.5653573370139
All,CatBoost,2013.141414141414,578.5653573370139
All,CatBoost,2013.2424242424242,578.5653573370139
All,CatBoost,2013.3434343434344,578.5653573370139
All,CatBoost,2013.4444444444443,578.5653573370139
All,CatBoost,2013.5454545454545,584.9728807834432
All,CatBoost,2013.6464646464647,584.9728807834432
All,CatBoost,2013.7474747474748,584.9728807834432
All,CatBoost,2013.8484848484848,584.9728807834432
All,CatBoost,2013.949494949495,584.9728807834432
All,CatBoost,2014.050505050505,584.9728807834432
All,CatBoost,2014.1515151515152,584.9728807834432
All,CatBoost,2014.2525252525252,584.9728807834432
All,CatBoost,2014.3535353535353,584.9728807834432
All,CatBoost,2014.4545454545455,584.9728807834432
All,CatBoost,2014.5555555555557,599.0010362684483
All,CatBoost,2014.6565656565656,599.0010362684483
All,CatBoost,2014.7575757575758,599.0010362684483
All,CatBoost,2014.858585858586,599.0010362684483
All,CatBoost,2014.959595959596,599.0010362684483
All,CatBoost,2015.060606060606,599.0010362684483
All,CatBoost,2015.1616161616162,599.0010362684483
All,CatBoost,2015.2626262626263,599.0010362684483
All,CatBoost,2015.3636363636363,599.0010362684483
All,CatBoost,2015.4646464646464,599.0010362684483
All,CatBoost,2015.5656565656566,605.3320850623923
All,CatBoost,2015.6666666666667,605.3320850623923
All,CatBoost,2015.7676767676767,605.3320850623923
All,CatBoost,2015.8686868686868,605.3320850623923
All,CatBoost,2015.969696969697,605.3320850623923
All,CatBoost,2016.0707070707072,605.3320850623923
All,CatBoost,2016.171717171717,605.3320850623923
All,CatBoost,2016.2727272727273,605.3320850623923
All,CatBoost,2016.3737373737374,605.3320850623923
All,CatBoost,2016.4747474747476,605.3320850623923
All,CatBoost,2016.5757575757575,604.197867422544
All,CatBoost,2016.6767676767677,604.197867422544
All,CatBoost,2016.7777777777778,604.197867422544
All,CatBoost,2016.878787878788,604.197867422544
All,CatBoost,2016.979797979798,604.197867422544
All,CatBoost,2017.080808080808,604.197867422544
All,CatBoost,2017.1818181818182,604.197867422544
All,CatBoost,2017.2828282828282,604.197867422544
All,CatBoost,2017.3838383838383,604.197867422544
All,CatBoost,2017.4848484848485,604.197867422544
All,CatBoost,2017.5858585858587,606.2214844873846
All,CatBoost,2017.6868686868686,606.2214844873846
All,CatBoost,2017.7878787878788,606.2214844873846
All,CatBoost,2017.888888888889,606.2214844873846
All,CatBoost,2017.989898989899,606.2214844873846
